Most used words by BENEE: 
Number of songs scanned: 28

265. believe - 3 uses.
266. slowly - 3 uses.
267. bubbles - 3 uses.
268. cold - 3 uses.
269. guys - 3 uses.
270. roll - 3 uses.
271. shell - 3 uses.
272. te - 3 uses.
273. hē - 3 uses.
274. tāku - 3 uses.
275. ki - 3 uses.
276. koinei - 3 uses.
277. roa - 3 uses.
278. ai - 3 uses.
279. muna - 3 uses.
280. tino - 3 uses.
281. ara - 3 uses.
282. ka - 3 uses.
283. pēnei - 3 uses.
284. mō - 3 uses.
285. kē - 3 uses.
286. waipuketia - 3 uses.
287. skin - 3 uses.
288. face - 3 uses.
289. red - 3 uses.
290. alive - 3 uses.
291. only - 3 uses.
292. reason - 3 uses.
293. walk - 3 uses.
294. hold - 3 uses.
295. light - 3 uses.
296. creepin - 3 uses.
297. da-dum - 3 uses.
298. dum - 3 uses.
299. befriend - 3 uses.
300. demons - 3 uses.
301. anybody - 3 uses.
302. ears - 3 uses.
303. bed - 3 uses.
304. pillow - 3 uses.
305. called - 3 uses.
306. looks - 3 uses.
307. enough - 3 uses.
308. mess - 3 uses.
309. hence - 3 uses.
310. kept - 3 uses.
311. secrets - 3 uses.
312. brewing - 3 uses.
313. expect - 3 uses.
314. another - 3 uses.
315. drenched - 3 uses.
316. truth - 3 uses.
317. people - 3 uses.
318. likes - 3 uses.
319. end - 3 uses.
320. fear - 3 uses.
321. read - 3 uses.
322. act - 3 uses.
323. sometimes - 3 uses.
324. speak - 3 uses.
325. bitches - 3 uses.
326. feeling - 3 uses.
327. lame - 3 uses.
328. starts - 3 uses.
329. hopes - 3 uses.
330. everyone - 3 uses.
331. burn - 3 uses.
332. lets - 3 uses.
333. stick - 3 uses.
334. under - 3 uses.
335. joke - 3 uses.
336. reach - 3 uses.
337. dreaming - 3 uses.
338. daydreaming - 3 uses.
339. last - 3 uses.
340. somewhere - 3 uses.
341. dudes - 3 uses.
342. listening - 3 uses.
343. though - 3 uses.
344. sick - 3 uses.
345. alone - 3 uses.
346. others - 3 uses.
347. effect - 3 uses.
348. forget - 3 uses.
349. mistakes - 3 uses.
350. maps - 3 uses.
351. check - 3 uses.
352. lifer - 3 uses.
353. longer - 2 uses.
354. happy - 2 uses.
355. anymore - 2 uses.
356. fought - 2 uses.
357. took - 2 uses.
358. gone - 2 uses.
359. water - 2 uses.
360. pouring - 2 uses.
361. knew - 2 uses.
362. dramatic - 2 uses.
363. panic - 2 uses.
364. bathtub - 2 uses.
365. cryin - 2 uses.
366. sinking - 2 uses.
367. dreamin - 2 uses.
368. club - 2 uses.
369. backrub - 2 uses.
370. saw - 2 uses.
371. driving - 2 uses.
372. put - 2 uses.
373. little - 2 uses.
374. wait - 2 uses.
375. warmer - 2 uses.
376. wrap - 2 uses.
377. ima - 2 uses.
378. spin - 2 uses.
379. blind - 2 uses.
380. au - 2 uses.
381. asleep - 2 uses.
382. shadow - 2 uses.
383. wants - 2 uses.
384. magic - 2 uses.
385. trying - 2 uses.
386. instead - 2 uses.
387. ready - 2 uses.
388. flames - 2 uses.
389. wasnt - 2 uses.
390. someones - 2 uses.
391. trees - 2 uses.
392. lurking - 2 uses.
