Most used words by Flume: 
Number of songs scanned: 54

268. sleep - 4 uses.
269. fake - 4 uses.
270. freak - 4 uses.
271. knees - 4 uses.
272. isnt - 4 uses.
273. cool - 4 uses.
274. believe - 4 uses.
275. even - 4 uses.
276. moment - 4 uses.
277. sometimes - 4 uses.
278. kept - 4 uses.
279. sure - 4 uses.
280. gave - 4 uses.
281. walking - 4 uses.
282. fine - 4 uses.
283. pain - 4 uses.
284. follow - 4 uses.
285. open - 4 uses.
286. lets - 4 uses.
287. hands - 4 uses.
288. full - 4 uses.
289. bout - 4 uses.
290. making - 4 uses.
291. theyll - 4 uses.
292. fed - 4 uses.
293. negativity - 4 uses.
294. bringing - 4 uses.
295. toxic - 4 uses.
296. fucked - 4 uses.
297. cocaine - 4 uses.
298. retire - 4 uses.
299. meet - 4 uses.
300. point - 4 uses.
301. arrival - 4 uses.
302. preach - 4 uses.
303. devour - 4 uses.
304. though - 4 uses.
305. pardon - 4 uses.
306. knock - 4 uses.
307. overload - 4 uses.
308. tide - 4 uses.
309. wherever - 4 uses.
310. follows - 4 uses.
311. ties - 4 uses.
312. damn - 4 uses.
313. ca-callin - 4 uses.
314. wash - 4 uses.
315. hyperreal - 4 uses.
316. envies - 4 uses.
317. fill - 4 uses.
318. hope - 4 uses.
319. mm - 4 uses.
320. wand - 4 uses.
321. vera - 3 uses.
322.  - 3 uses.
323. wake - 3 uses.
324. sight - 3 uses.
325. round - 3 uses.
326. weekend - 3 uses.
327. road - 3 uses.
328. write - 3 uses.
329. feelings - 3 uses.
330. boy - 3 uses.
331. loose - 3 uses.
332. town - 3 uses.
333. dog - 3 uses.
334. drop - 3 uses.
335. standing - 3 uses.
336. explode - 3 uses.
337. those - 3 uses.
338. disguise - 3 uses.
339. awful - 3 uses.
340. weigh - 3 uses.
341. keeping - 3 uses.
342. control - 3 uses.
343. physical - 3 uses.
344. taking - 3 uses.
345. slow - 3 uses.
346. onto - 3 uses.
347. kisses - 3 uses.
348. elevate - 3 uses.
349. ya - 3 uses.
350. skin - 3 uses.
351. till - 3 uses.
352. much - 3 uses.
353. vow - 3 uses.
354. hurts - 3 uses.
355. drug - 3 uses.
356. once - 3 uses.
357. outside - 3 uses.
358. bitches - 3 uses.
359. starting - 3 uses.
360. girl - 3 uses.
361. smoke - 3 uses.
362. trying - 3 uses.
363. fall - 3 uses.
364. whats - 3 uses.
365. alive - 3 uses.
366. sing - 3 uses.
367. rain - 3 uses.
368. reason - 3 uses.
369. first - 3 uses.
370. begging - 3 uses.
371. kids - 3 uses.
372. friend - 3 uses.
373. roll - 3 uses.
374. saw - 3 uses.
375. fool - 3 uses.
376. slip - 3 uses.
377. work - 3 uses.
378. story - 3 uses.
379. doubt - 3 uses.
380. dark - 3 uses.
381. yugh - 3 uses.
382. heard - 3 uses.
383. regret - 3 uses.
384. risk - 3 uses.
385. decide - 3 uses.
386. purple - 3 uses.
387. tropical - 3 uses.
388. bidding - 3 uses.
389. poll - 3 uses.
390. past - 3 uses.
391. lookin - 3 uses.
392. whip - 3 uses.
393. understand - 3 uses.
394. other - 3 uses.
395. scared - 3 uses.
396. while - 3 uses.
397. hollow - 3 uses.
398. undercover - 3 uses.
399. fights - 3 uses.
400. lead - 3 uses.
401. lone - 3 uses.
402. music - 3 uses.
403. gold - 3 uses.
404. mood - 3 uses.
405. pounds - 3 uses.
406. fuckin - 3 uses.
407. aka - 3 uses.
408. hey - 3 uses.
409. seems - 3 uses.
410. vapour - 3 uses.
411. both - 3 uses.
412. knew - 3 uses.
413. apart - 3 uses.
414. sigh - 3 uses.
415. siren - 3 uses.
416. cries - 3 uses.
417. movin - 2 uses.
418. spun - 2 uses.
419. wait - 2 uses.
420. til - 2 uses.
421. squeeze - 2 uses.
422. trip - 2 uses.
423. misery - 2 uses.
424. feet - 2 uses.
425. late - 2 uses.
426. lit - 2 uses.
427. lil - 2 uses.
428. breaking - 2 uses.
429. weed - 2 uses.
430. neck - 2 uses.
431. song - 2 uses.
432. ‘bout - 2 uses.
433. landmine - 2 uses.
434. tread - 2 uses.
435. lightly - 2 uses.
436. ready - 2 uses.
437. wits - 2 uses.
438. season - 2 uses.
439. memory - 2 uses.
440. above - 2 uses.
441. desires - 2 uses.
442. act - 2 uses.
443. numb - 2 uses.
444. colder - 2 uses.
445. disappears - 2 uses.
446. pride - 2 uses.
447. giving - 2 uses.
448. deep - 2 uses.
