Most used words by  Samia: 
Number of songs scanned: 30

268. play - 2 uses.
269. tried - 2 uses.
270. proud - 2 uses.
271. sit - 2 uses.
272. trying - 2 uses.
273. room - 2 uses.
274. pond - 2 uses.
275. hold - 2 uses.
276. car - 2 uses.
277. swear - 2 uses.
278. door - 2 uses.
279. kitchen - 2 uses.
280. vellum - 2 uses.
281. between - 2 uses.
282. boat - 2 uses.
283. bought - 2 uses.
284. buy - 2 uses.
285. scream - 2 uses.
286. box - 2 uses.
287. everyone - 2 uses.
288. young - 2 uses.
289. youve - 2 uses.
290. also - 2 uses.
291. talks - 2 uses.
292. mirror - 2 uses.
293. should - 2 uses.
294. telling - 2 uses.
295. body - 2 uses.
296. antidote - 2 uses.
297. america - 2 uses.
298. talking - 2 uses.
299. adverse - 2 uses.
300. effects - 2 uses.
301. theyve - 2 uses.
302. knows - 2 uses.
303. veritable - 2 uses.
304. few - 2 uses.
305. meetings - 2 uses.
306. eve - 2 uses.
307. due - 2 uses.
308. negligence - 2 uses.
309. buried - 2 uses.
310. england - 2 uses.
311. beach - 2 uses.
312. grave - 2 uses.
313. reach - 2 uses.
314. rachel - 2 uses.
315. calling - 2 uses.
316. suggestion - 2 uses.
317. fundamentalist - 2 uses.
318. cult-style - 2 uses.
319. religion - 2 uses.
320. relieved - 2 uses.
321. away - 2 uses.
322. disclosure - 2 uses.
323. siding - 2 uses.
324. true - 2 uses.
325. allow - 2 uses.
326. host - 2 uses.
327. meeting - 2 uses.
328. eden - 2 uses.
329. folks - 2 uses.
330. swore - 2 uses.
331. act - 2 uses.
332. course - 2 uses.
333. smile - 2 uses.
334. heaven - 2 uses.
335. peak - 2 uses.
336. pray - 2 uses.
337. drill - 2 uses.
338. east - 2 uses.
339. waiters - 2 uses.
340. celebrities - 2 uses.
341. waited - 2 uses.
342. brazen - 2 uses.
343. advances - 2 uses.
344. lore - 2 uses.
345. movie - 2 uses.
346. star - 2 uses.
347. leaving - 2 uses.
348. number - 2 uses.
349. receipt - 2 uses.
350. mystery - 2 uses.
351. patron - 2 uses.
352. dressed - 2 uses.
353. person - 2 uses.
354. creature - 2 uses.
355. instead - 2 uses.
356. dark - 2 uses.
357. sunlight - 2 uses.
358. decide - 2 uses.
359. aging - 2 uses.
360. gracefully - 2 uses.
361. parents - 2 uses.
362. push - 2 uses.
363. tables - 2 uses.
364. round - 2 uses.
365. clean - 2 uses.
366. whistle - 2 uses.
367. told - 2 uses.
368. sideways - 2 uses.
369. bed - 2 uses.
370. fucking - 2 uses.
371. gay - 2 uses.
372. bathroom - 2 uses.
373. ear - 2 uses.
374. almost - 2 uses.
375. nose - 2 uses.
376. ray - 2 uses.
377. pink - 2 uses.
378. called - 2 uses.
379. toe - 2 uses.
380. prada - 2 uses.
381. benz - 2 uses.
382. driveway - 2 uses.
383. yacht - 2 uses.
384. vegas - 2 uses.
385. mandarin - 2 uses.
386. roller - 2 uses.
387. gambling - 2 uses.
388. diddy - 2 uses.
389. drippin - 2 uses.
390. diamonds - 2 uses.
391. marilyn - 2 uses.
392. drowning - 2 uses.
393. ious - 2 uses.
394. value - 2 uses.
395. lies - 2 uses.
396. rolling - 2 uses.
397. lips - 2 uses.
398. falling - 2 uses.
399. sky - 2 uses.
400. la-a-a-a-a-di-da - 2 uses.
401. dime - 2 uses.
402. signs - 2 uses.
403. cross - 2 uses.
404. thigh - 2 uses.
405. does - 2 uses.
406. hair - 2 uses.
407. bite - 2 uses.
408. tough - 2 uses.
409. attic - 2 uses.
410. sheet - 2 uses.
411. canvas - 2 uses.
412. paint - 2 uses.
413. picture - 2 uses.
414. essence - 2 uses.
415. keeper - 2 uses.
416. danced - 2 uses.
417. wed - 2 uses.
418. hearts - 2 uses.
419. closed - 2 uses.
420. cider - 2 uses.
421. vinegar - 2 uses.
422. hot - 2 uses.
423. fully - 2 uses.
424. naked - 2 uses.
425. cleaning - 2 uses.
426. tidal - 2 uses.
427. creek - 2 uses.
428. murderous - 2 uses.
429. bird - 2 uses.
430. beak - 2 uses.
431. sam-soumi - 2 uses.
432. breathe - 2 uses.
433. talk - 2 uses.
434. kissing - 2 uses.
435. wasted - 2 uses.
436. used - 2 uses.
437. gym - 2 uses.
438. win - 2 uses.
439. chest - 2 uses.
440. class - 2 uses.
441. woman - 2 uses.
442. believe - 2 uses.
443. ears - 2 uses.
444. warm - 2 uses.
445. lying - 2 uses.
446. fuck - 2 uses.
447. worth - 2 uses.
448. goodnight - 2 uses.
449. breathing - 2 uses.
450. cake - 2 uses.
451. reason - 2 uses.
452. phoenix - 2 uses.
453. two - 2 uses.
454. check - 2 uses.
455. mumble - 2 uses.
456. stumble - 2 uses.
457. bites - 2 uses.
458. montana - 2 uses.
459. japan - 2 uses.
460. bedroom - 2 uses.
461. ending - 1 uses.
462. darling - 1 uses.
463. cigarette - 1 uses.
464. damn - 1 uses.
465. writhing - 1 uses.
466. thinner - 1 uses.
467. worthy - 1 uses.
468. tease - 1 uses.
469. agree - 1 uses.
470. wreck - 1 uses.
471. shake - 1 uses.
472. dream - 1 uses.
473. pouring - 1 uses.
474. pork - 1 uses.
475. ladder - 1 uses.
476. sleep - 1 uses.
477. silk - 1 uses.
478. ghost - 1 uses.
479. intentions - 1 uses.
480. passbook - 1 uses.
481. greek - 1 uses.
482. mythology - 1 uses.
483. existential - 1 uses.
484. explanation - 1 uses.
485. heavy - 1 uses.
486. conversation - 1 uses.
487. deters - 1 uses.
488. stayed - 1 uses.
489. michaels - 1 uses.
490. disappointed - 1 uses.
491. cycle - 1 uses.
492. woke - 1 uses.
493. pushed - 1 uses.
494. tightrope - 1 uses.
495. listened - 1 uses.
496. muna - 1 uses.
497. dawn - 1 uses.
498. grew - 1 uses.
499. hangs - 1 uses.
500. intention - 1 uses.
501. driving - 1 uses.
502. gabe - 1 uses.
503. stratified - 1 uses.
504. brooklyn - 1 uses.
505. bands - 1 uses.
506. finding - 1 uses.
507. crowd - 1 uses.
508. grounds - 1 uses.
509. others - 1 uses.
510. storing - 1 uses.
511. cans - 1 uses.
512. basement - 1 uses.
513. tribulation - 1 uses.
514. admit - 1 uses.
515. faked - 1 uses.
516. freaked - 1 uses.
517. lights - 1 uses.
518. total - 1 uses.
519. exhaustion - 1 uses.
520. charge - 1 uses.
521. future - 1 uses.
522. seem - 1 uses.
523. careless - 1 uses.
524. fleeting - 1 uses.
525. beguiling - 1 uses.
526. mirage - 1 uses.
527. wasting - 1 uses.
528. deserved - 1 uses.
529. hemingway - 1 uses.
530. days - 1 uses.
531. statues - 1 uses.
532. wished - 1 uses.
533. louvre - 1 uses.
534. renaissance - 1 uses.
535. carefully - 1 uses.
536. princess - 1 uses.
537. breathtaking - 1 uses.
538. charade - 1 uses.
539. dragged - 1 uses.
540. starbucks - 1 uses.
541. being - 1 uses.
542. perfect - 1 uses.
543. story - 1 uses.
544. ghosts - 1 uses.
545. alone - 1 uses.
546. café - 1 uses.
547. 6 - 1 uses.
548. oclock - 1 uses.
549. montmartre - 1 uses.
550. hid - 1 uses.
551. american - 1 uses.
552. manhattans - 1 uses.
553. our- - 1 uses.
554. medium - 1 uses.
555. tall - 1 uses.
556. vacuum - 1 uses.
557. pulled - 1 uses.
558. owed - 1 uses.
559. sedated - 1 uses.
560. began - 1 uses.
561. records - 1 uses.
562. stellate - 1 uses.
563. stick - 1 uses.
564. needle - 1 uses.
565. heat - 1 uses.
566. showed - 1 uses.
567. locked - 1 uses.
568. laid - 1 uses.
569. discern - 1 uses.
570. sailing - 1 uses.
571. someplace - 1 uses.
572. bucket - 1 uses.
573. overflows - 1 uses.
574. tin - 1 uses.
575. toothpick - 1 uses.
576. poking - 1 uses.
577. knife - 1 uses.
578. affair - 1 uses.
579. miss - 1 uses.
580. angelina - 1 uses.
581. grounded - 1 uses.
582. strong - 1 uses.
583. skipper - 1 uses.
584. steer - 1 uses.
585. flesh - 1 uses.
586. bog - 1 uses.
587. carried - 1 uses.
588. stuffed - 1 uses.
589. pig - 1 uses.
590. five - 1 uses.
591. died - 1 uses.
592. attention - 1 uses.
593. lived - 1 uses.
594. extraordinary - 1 uses.
595. trusted - 1 uses.
596. best - 1 uses.
597. dies - 1 uses.
598. shouldnt - 1 uses.
599. die - 1 uses.
600. anyway - 1 uses.
601. invited - 1 uses.
602. set - 1 uses.
603. pen - 1 uses.
604. embellish - 1 uses.
605. noteworthy - 1 uses.
606. parts - 1 uses.
607. deathless - 1 uses.
608. art - 1 uses.
609. giving - 1 uses.
610. drunk - 1 uses.
611. minneapolis - 1 uses.
612. essentially - 1 uses.
613. drunkenness - 1 uses.
614. happens - 1 uses.
615. minutes - 1 uses.
616. land - 1 uses.
617. doesnt - 1 uses.
618. spin - 1 uses.
619. thinking - 1 uses.
620. bout - 1 uses.
621. brought - 1 uses.
622. elephant - 1 uses.
623. most - 1 uses.
624. delicate - 1 uses.
625. force - 1 uses.
626. mouths - 1 uses.
627. reset - 1 uses.
628. tolerance - 1 uses.
629. easier - 1 uses.
630. fail - 1 uses.
631. audience - 1 uses.
632. toward - 1 uses.
633. heard - 1 uses.
634. spreadin - 1 uses.
635. utter - 1 uses.
636. care - 1 uses.
637. cat - 1 uses.
638. straight - 1 uses.
639. pockets - 1 uses.
640. kids - 1 uses.
641. wrecked - 1 uses.
642. histrionic - 1 uses.
643. exit - 1 uses.
644. sat - 1 uses.
645. perplexed - 1 uses.
646. strung - 1 uses.
647. fuming - 1 uses.
648. vexed - 1 uses.
649. whisper - 1 uses.
650. louder - 1 uses.
651. jesus - 1 uses.
652. anecdotes - 1 uses.
653. offer - 1 uses.
654. gentleman - 1 uses.
655. thoughts - 1 uses.
656. sacrament - 1 uses.
657. awfully - 1 uses.
658. boring - 1 uses.
659. all-knowing - 1 uses.
660. probably - 1 uses.
661. prolific - 1 uses.
662. ex-boyfriend - 1 uses.
663. ring - 1 uses.
664. turned - 1 uses.
665. shouldve - 1 uses.
666. paid - 1 uses.
667. vessel - 1 uses.
668. filled - 1 uses.
669. portland - 1 uses.
670. brew - 1 uses.
671. dogs - 1 uses.
672. discourse - 1 uses.
673. sawyers - 1 uses.
674. brand-new - 1 uses.
675. job - 1 uses.
676. golf - 1 uses.
677. hard - 1 uses.
678. drive - 1 uses.
679. broadway - 1 uses.
680. voice - 1 uses.
681. sleepless - 1 uses.
682. florida - 1 uses.
683. hanging - 1 uses.
684. 4runner - 1 uses.
685. digging - 1 uses.
686. shark - 1 uses.
687. mother - 1 uses.
688. plane - 1 uses.
689. mom - 1 uses.
690. latched - 1 uses.
691. aircraft - 1 uses.
692. sweatpants - 1 uses.
693. hour - 1 uses.
694. cleans - 1 uses.
695. takes - 1 uses.
696. shower - 1 uses.
697. stipulations - 1 uses.
698. twenty - 1 uses.
699. picked - 1 uses.
700. crisp - 1 uses.
701. benjamin - 1 uses.
702. gone - 1 uses.
703. crossed - 1 uses.
704. basically - 1 uses.
705. sitting - 1 uses.
706. pile - 1 uses.
707. dimes - 1 uses.
708. times - 1 uses.
709. cheap - 1 uses.
710. won - 1 uses.
711. lottery - 1 uses.
712. pain - 1 uses.
713. cursing - 1 uses.
714. stranger - 1 uses.
715. doubt - 1 uses.
716. danger - 1 uses.
717. temper - 1 uses.
718. sometimes - 1 uses.
719. shout - 1 uses.
720. whats - 1 uses.
721. intended - 1 uses.
722. bear - 1 uses.
723. walk - 1 uses.
724. world - 1 uses.
725. cut - 1 uses.
726. climbing - 1 uses.
727. fence - 1 uses.
728. brave - 1 uses.
