Most used words by  COIN: 
Number of songs scanned: 57

268. stand - 4 uses.
269. leaving - 4 uses.
270. drive - 4 uses.
271. last - 4 uses.
272. light - 4 uses.
273. drag - 4 uses.
274. nowhere - 4 uses.
275. known - 4 uses.
276. round - 4 uses.
277. coat - 4 uses.
278. should - 4 uses.
279. wonder - 4 uses.
280. case - 4 uses.
281. phone - 4 uses.
282. yourself - 4 uses.
283. bothered - 4 uses.
284. board - 4 uses.
285. commit - 4 uses.
286. wishing - 4 uses.
287. fingertips - 4 uses.
288. attraction - 4 uses.
289. course - 4 uses.
290. send - 4 uses.
291. comes - 4 uses.
292. lose - 4 uses.
293. party - 4 uses.
294. sorting - 4 uses.
295. things - 4 uses.
296. far - 4 uses.
297. gun - 4 uses.
298. seasons - 4 uses.
299. working - 4 uses.
300. i-i-i - 4 uses.
301. tongue - 4 uses.
302. closing - 4 uses.
303. must - 4 uses.
304. care - 4 uses.
305. anymore - 4 uses.
306. flip - 4 uses.
307. street - 4 uses.
308. machine - 4 uses.
309. giving - 4 uses.
310. future - 4 uses.
311. whether - 4 uses.
312. miles - 3 uses.
313. ask - 3 uses.
314. pull - 3 uses.
315. sleeping - 3 uses.
316. someone - 3 uses.
317. attention - 3 uses.
318. vision - 3 uses.
319. miss - 3 uses.
320. universe - 3 uses.
321. days - 3 uses.
322. caught - 3 uses.
323. held - 3 uses.
324. holy - 3 uses.
325. wrists - 3 uses.
326. bound - 3 uses.
327. deadly - 3 uses.
328. sin - 3 uses.
329. crown - 3 uses.
330. lost - 3 uses.
331. fate - 3 uses.
332. bleed - 3 uses.
333. savior - 3 uses.
334. slow - 3 uses.
335. till - 3 uses.
336. figure - 3 uses.
337. older - 3 uses.
338. outgrown - 3 uses.
339. sun - 3 uses.
340. stars - 3 uses.
341. gets - 3 uses.
342. hands - 3 uses.
343. bored - 3 uses.
344. tears - 3 uses.
345. hair - 3 uses.
346. nobody - 3 uses.
347. watching - 3 uses.
348. waterfall - 3 uses.
349. anything - 3 uses.
350. undone - 3 uses.
351. uh - 3 uses.
352. read - 3 uses.
353. shut - 3 uses.
354. human - 3 uses.
355. nature - 3 uses.
356. talkative - 3 uses.
357. table - 3 uses.
358. wave - 3 uses.
359. under - 3 uses.
360. golden - 3 uses.
361. moves - 3 uses.
362. dive - 3 uses.
363. lay - 3 uses.
364. bitter - 3 uses.
365. edge - 3 uses.
366. fell - 3 uses.
367. couldve - 3 uses.
368. shouldve - 3 uses.
369. trouble - 3 uses.
370. either - 3 uses.
371. arm - 3 uses.
372. times - 3 uses.
373. bicker - 3 uses.
374. terms - 3 uses.
375. seems - 3 uses.
376. believe - 3 uses.
377. anyway - 3 uses.
378. hypnotica - 3 uses.
379. waste - 3 uses.
380. somebody - 3 uses.
381. songs - 3 uses.
382. ring - 3 uses.
383. friday - 3 uses.
384. hits - 3 uses.
385. screen - 3 uses.
386. traffic - 3 uses.
387. flickering - 3 uses.
388. ice - 3 uses.
389. line - 3 uses.
390. draw - 3 uses.
391. lived - 3 uses.
392. built - 3 uses.
393. push - 3 uses.
394. tells - 3 uses.
395. wanted - 3 uses.
396. shoulder - 3 uses.
397. own - 3 uses.
398. fragile - 3 uses.
399. lovesick - 3 uses.
400. beating - 3 uses.
401. black - 3 uses.
402. hurry - 3 uses.
403. parents - 3 uses.
404. side - 3 uses.
405. school - 3 uses.
406. excuse - 3 uses.
407. loud - 3 uses.
408. except - 3 uses.
409. everyones - 3 uses.
410. splitting - 3 uses.
411. mistake - 3 uses.
412. doing - 3 uses.
413. throw - 3 uses.
414. everybody - 3 uses.
415. lights - 3 uses.
416. pumping - 3 uses.
417. power - 3 uses.
418. park - 3 uses.
419. lately - 3 uses.
420. dumb - 3 uses.
421. seem - 3 uses.
422. barrel - 3 uses.
423. downward - 3 uses.
424. dismantling - 3 uses.
425. bomb - 3 uses.
426. pouring - 3 uses.
427. rain - 3 uses.
428. circumstances - 3 uses.
429. floating - 3 uses.
430. names - 3 uses.
431. forgotten - 3 uses.
432. malibu - 3 uses.
433. i-i - 3 uses.
434. blue - 3 uses.
435. remember - 3 uses.
436. happened - 3 uses.
437. reduce - 3 uses.
438. odd - 3 uses.
439. magnet - 3 uses.
440. stuck - 3 uses.
441. switch - 3 uses.
442. before - 3 uses.
443. done - 3 uses.
444. six - 3 uses.
445. ripped - 3 uses.
446. jeans - 3 uses.
447. playground - 3 uses.
448. cement - 3 uses.
449. rings - 3 uses.
450. acting - 3 uses.
451. glued - 3 uses.
452. together - 3 uses.
453. worse - 3 uses.
454. family - 3 uses.
455. reason - 3 uses.
456. share - 3 uses.
457. freezing - 3 uses.
458. dying - 3 uses.
459. atlas - 3 uses.
460. asked - 2 uses.
461. begging - 2 uses.
462. busy - 2 uses.
463. used - 2 uses.
464. couch - 2 uses.
465. lets - 2 uses.
466. barely - 2 uses.
467. magazines - 2 uses.
468. between - 2 uses.
469. message - 2 uses.
470. hidden - 2 uses.
471. less - 2 uses.
472. window - 2 uses.
473. kept - 2 uses.
474. drew - 2 uses.
475. drink - 2 uses.
476. admit - 2 uses.
477. along - 2 uses.
478. crowd - 2 uses.
479. eye - 2 uses.
480. shooting - 2 uses.
481. heavy - 2 uses.
482. speeding - 2 uses.
483. brakes - 2 uses.
484. youth - 2 uses.
485. beginning - 2 uses.
486. adding - 2 uses.
487. sight - 2 uses.
488. crawling - 2 uses.
489. skin - 2 uses.
490. peace - 2 uses.
491. expect - 2 uses.
492. cold - 2 uses.
493. ceiling - 2 uses.
494. miranda - 2 uses.
495. beach - 2 uses.
496. accidentally - 2 uses.
497. television - 2 uses.
498. mmhmm - 2 uses.
499. type - 2 uses.
500. breath - 2 uses.
501. red - 2 uses.
502. blah - 2 uses.
503. sweet - 2 uses.
504. warm - 2 uses.
505. already - 2 uses.
506. deep - 2 uses.
507. freaking - 2 uses.
508. queen - 2 uses.
509. luck - 2 uses.
510. tangled - 2 uses.
511. midnight - 2 uses.
512. handed - 2 uses.
513. eager - 2 uses.
514. killing - 2 uses.
515. close - 2 uses.
516. twisted - 2 uses.
517. everybodys - 2 uses.
518. being - 2 uses.
519. cruel - 2 uses.
520. those - 2 uses.
521. true - 2 uses.
522. hypnotic - 2 uses.
523. style - 2 uses.
524. catch - 2 uses.
525. spend - 2 uses.
526. plans - 2 uses.
527. worth - 2 uses.
528. death - 2 uses.
529. skyline - 2 uses.
530. brick - 2 uses.
531. ground - 2 uses.
532. seemed - 2 uses.
533. twist - 2 uses.
534. unfold - 2 uses.
535. til - 2 uses.
536. pick - 2 uses.
537. babe - 2 uses.
538. loves - 2 uses.
539. weve - 2 uses.
540. half - 2 uses.
541. heres - 2 uses.
542. heartless - 2 uses.
543. loosen - 2 uses.
544. grip - 2 uses.
545. collapse - 2 uses.
546. dressed - 2 uses.
547. walking - 2 uses.
548. stranger - 2 uses.
549. color - 2 uses.
550. heartbreak - 2 uses.
551. colors - 2 uses.
552. tiptoe - 2 uses.
553. sick - 2 uses.
554. crack - 2 uses.
555. almost - 2 uses.
556. citys - 2 uses.
557. mirror - 2 uses.
558. magic - 2 uses.
559. moving - 2 uses.
560. isnt - 2 uses.
561. submitting - 2 uses.
562. sooner - 2 uses.
563. later - 2 uses.
564. favor - 2 uses.
565. sort - 2 uses.
566. morning - 2 uses.
567. exhausting - 2 uses.
568. roots - 2 uses.
569. tree - 2 uses.
570. wanting - 2 uses.
571. wander - 2 uses.
572. turned - 2 uses.
573. fighter - 2 uses.
574. lady - 2 uses.
575. happens - 2 uses.
576. learn - 2 uses.
577. person - 2 uses.
578. since - 2 uses.
579. salt - 2 uses.
580. came - 2 uses.
581. waitin - 2 uses.
582. escape - 2 uses.
583. doubt - 2 uses.
584. sweat - 2 uses.
585. twenty-some - 2 uses.
586. bottled - 2 uses.
587. jesus - 2 uses.
588. watched - 2 uses.
589. airplane - 2 uses.
590. summers - 2 uses.
591. heat - 2 uses.
592. bit - 2 uses.
593. taste - 2 uses.
594. iron - 2 uses.
595. sweethearts - 2 uses.
596. soured - 2 uses.
597. grown - 2 uses.
598. moved - 2 uses.
599. ran - 2 uses.
600. ohio - 2 uses.
601. replaced - 2 uses.
602. treadmill - 2 uses.
603. carved - 2 uses.
604. sealed - 2 uses.
605. handprints - 2 uses.
606. mom - 2 uses.
607. shed - 2 uses.
608. mans - 2 uses.
609. trophy - 2 uses.
610. jersey - 2 uses.
611. moneys - 2 uses.
612. 20 - 2 uses.
613. 92 - 2 uses.
614. disconnected - 2 uses.
615. onto - 2 uses.
616. vacantly - 2 uses.
617. meant - 2 uses.
618. age - 2 uses.
619. play - 2 uses.
620. sunrise - 2 uses.
621. revolving - 2 uses.
622. doors - 2 uses.
623. scream - 2 uses.
624. air - 2 uses.
625. s-s-s-simplify - 2 uses.
626. mystery - 2 uses.
627. hate - 2 uses.
628. guessing - 2 uses.
629. asleep - 2 uses.
630. tastes - 2 uses.
631. twenty-one - 2 uses.
632. halfway - 2 uses.
633. bite - 2 uses.
634. drops - 2 uses.
635. rosalio - 2 uses.
636. wow - 2 uses.
637. freak - 2 uses.
638. pillow - 2 uses.
639. crossed - 2 uses.
640. speaking - 2 uses.
641. screaming - 2 uses.
642. folds - 2 uses.
643. learned - 2 uses.
644. tragedy - 2 uses.
645. rearrange - 1 uses.
646. reached - 1 uses.
647. shoulders - 1 uses.
648. calls - 1 uses.
649. scrolling - 1 uses.
650. messages - 1 uses.
651. pay - 1 uses.
652. captured - 1 uses.
653. criminal - 1 uses.
654. star - 1 uses.
655. ill-prepared - 1 uses.
656. gunning - 1 uses.
657. rest - 1 uses.
658. walls - 1 uses.
659. theyd - 1 uses.
660. quite - 1 uses.
661. puts - 1 uses.
662. soft - 1 uses.
663. waves - 1 uses.
664. making - 1 uses.
665. nearly - 1 uses.
666. wet - 1 uses.
667. daring - 1 uses.
668. stained-glass - 1 uses.
669. glimpse - 1 uses.
670. maker - 1 uses.
671. quick - 1 uses.
672. cabinet - 1 uses.
673. dried - 1 uses.
674. silhouette - 1 uses.
675. dresser - 1 uses.
676. understood - 1 uses.
677. met - 1 uses.
678. corner - 1 uses.
679. check - 1 uses.
680. heroes - 1 uses.
681. theyll - 1 uses.
682. zero - 1 uses.
683. fortunate - 1 uses.
684. common - 1 uses.
685. thread - 1 uses.
686. needle - 1 uses.
687. hurricane - 1 uses.
688. lemons - 1 uses.
689. lemonade - 1 uses.
690. bottle - 1 uses.
691. grain - 1 uses.
692. sand - 1 uses.
693. bubble - 1 uses.
694. float - 1 uses.
695. brighter - 1 uses.
696. memory - 1 uses.
697. bought - 1 uses.
698. photograph - 1 uses.
699. fades - 1 uses.
700. lying - 1 uses.
701. shape - 1 uses.
702. tryin - 1 uses.
703. shake - 1 uses.
704. plain - 1 uses.
705. roses - 1 uses.
706. believed - 1 uses.
707. miracle - 1 uses.
708. punch - 1 uses.
709. stone - 1 uses.
710. reflect - 1 uses.
711. intentions - 1 uses.
712. stare - 1 uses.
713. balcony - 1 uses.
714. mezzanine - 1 uses.
715. tear - 1 uses.
716. ignore - 1 uses.
717. naturally - 1 uses.
718. unaware - 1 uses.
719. evening - 1 uses.
720. easy - 1 uses.
721. caffeine - 1 uses.
722. small - 1 uses.
723. plastic - 1 uses.
724. weather - 1 uses.
725. discussing - 1 uses.
