Most used words by Dawes: 
Number of songs scanned: 80

271. sun - 7 uses.
272. asked - 7 uses.
273. high - 7 uses.
274. thoughts - 7 uses.
275. til - 7 uses.
276. story - 7 uses.
277. taking - 7 uses.
278. completely - 7 uses.
279. honest - 7 uses.
280. less - 7 uses.
281. happening - 7 uses.
282. common - 7 uses.
283. minding - 7 uses.
284. everyday - 7 uses.
285. speaking - 7 uses.
286. mean - 6 uses.
287. hit - 6 uses.
288. goes - 6 uses.
289. caught - 6 uses.
290. forgive - 6 uses.
291. speak - 6 uses.
292. memory - 6 uses.
293. very - 6 uses.
294. holding - 6 uses.
295. soul - 6 uses.
296. ride - 6 uses.
297. reasons - 6 uses.
298. everywhere - 6 uses.
299. other - 6 uses.
300. promise - 6 uses.
301. ocean - 6 uses.
302. started - 6 uses.
303. kind - 6 uses.
304. live - 6 uses.
305. shows - 6 uses.
306. next - 6 uses.
307. stronger - 6 uses.
308. further - 6 uses.
309. road - 6 uses.
310. making - 6 uses.
311. fact - 6 uses.
312. yet - 6 uses.
313. rest - 6 uses.
314. drink - 6 uses.
315. bear - 6 uses.
316. outside - 6 uses.
317. nights - 6 uses.
318. apart - 6 uses.
319. view - 6 uses.
320. somebody - 6 uses.
321. goodbye - 6 uses.
322. lovers - 6 uses.
323. changing - 6 uses.
324. sea - 6 uses.
325. taken - 6 uses.
326. dead - 6 uses.
327. secret - 6 uses.
328. hears - 6 uses.
329. anchor - 6 uses.
330. ends - 6 uses.
331. feet - 6 uses.
332. knowing - 6 uses.
333. white - 6 uses.
334. morning - 6 uses.
335. figure - 6 uses.
336. music - 6 uses.
337. done - 6 uses.
338. raise - 6 uses.
339. glass - 6 uses.
340. mine - 6 uses.
341. half - 6 uses.
342. walls - 6 uses.
343. favorite - 6 uses.
344. wait - 6 uses.
345. big - 6 uses.
346. however - 6 uses.
347. strangers - 6 uses.
348. conversation - 5 uses.
349. lines - 5 uses.
350. small - 5 uses.
351. final - 5 uses.
352. told - 5 uses.
353. stands - 5 uses.
354. blame - 5 uses.
355. turning - 5 uses.
356. older - 5 uses.
357. listen - 5 uses.
358. lights - 5 uses.
359. wish - 5 uses.
360. fine - 5 uses.
361. listening - 5 uses.
362. went - 5 uses.
363. believe - 5 uses.
364. became - 5 uses.
365. witness - 5 uses.
366. fun - 5 uses.
367. since - 5 uses.
368. again - 5 uses.
369. headed - 5 uses.
370. tried - 5 uses.
371. parts - 5 uses.
372. livin - 5 uses.
373. book - 5 uses.
374. loves - 5 uses.
375. phone - 5 uses.
376. today - 5 uses.
377. realize - 5 uses.
378. truth - 5 uses.
379. house - 5 uses.
380. soon - 5 uses.
381. brother - 5 uses.
382. telescope - 5 uses.
383. couldnt - 5 uses.
384. himself - 5 uses.
385. lose - 5 uses.
386. supposed - 5 uses.
387. knowin - 5 uses.
388. reflection - 5 uses.
389. window - 5 uses.
390. mirror - 5 uses.
391. pretend - 5 uses.
392. staring - 5 uses.
393. shadow - 5 uses.
394. cry - 5 uses.
395. year - 5 uses.
396. thinks - 5 uses.
397. hearts - 5 uses.
398. feels - 5 uses.
399. please - 5 uses.
400. thinking - 5 uses.
401. crack - 5 uses.
402. someones - 5 uses.
403. trouble - 5 uses.
404. design - 5 uses.
405. whats - 5 uses.
406. throw - 5 uses.
407. becomes - 5 uses.
408. seems - 5 uses.
409. god - 5 uses.
410. best - 5 uses.
411. close - 5 uses.
