Most used words by Phoenix: 
Number of songs scanned: 57

270. pretend - 5 uses.
271. tuttifrutti - 5 uses.
272. win - 5 uses.
273. might - 5 uses.
274. stuff - 5 uses.
275. meet - 5 uses.
276. truth - 5 uses.
277. non - 5 uses.
278. troppo - 5 uses.
279. late - 5 uses.
280. attention - 5 uses.
281. wear - 5 uses.
282. hopeless - 5 uses.
283. girlfriend - 5 uses.
284. notice - 5 uses.
285. riot - 5 uses.
286. driving - 5 uses.
287. lights - 5 uses.
288. room - 5 uses.
289. napoleon - 5 uses.
290. bring - 5 uses.
291. growing - 5 uses.
292. start - 4 uses.
293. yet - 4 uses.
294. secrets - 4 uses.
295. tried - 4 uses.
296. after - 4 uses.
297. someday - 4 uses.
298. ground - 4 uses.
299. sure - 4 uses.
300. calls - 4 uses.
301. should - 4 uses.
302. play - 4 uses.
303. next - 4 uses.
304. ashes - 4 uses.
305. believe - 4 uses.
306. best - 4 uses.
307. hope - 4 uses.
308. does - 4 uses.
309. knowing - 4 uses.
310. sorry - 4 uses.
311. big - 4 uses.
312. name - 4 uses.
313. dancing - 4 uses.
314. everybodys - 4 uses.
315. realize - 4 uses.
316. darling - 4 uses.
317. bourgeois - 4 uses.
318. believed - 4 uses.
319. foreign - 4 uses.
320. attitude - 4 uses.
321. façon - 4 uses.
322. raison - 4 uses.
323. dis-moi - 4 uses.
324. pourquoi - 4 uses.
325. comment - 4 uses.
326. jétais - 4 uses.
327. quune - 4 uses.
328. seconde - 4 uses.
329. seulement - 4 uses.
330. tu - 4 uses.
331. soleil - 4 uses.
332. behind - 4 uses.
333. stop - 4 uses.
334. lifetime - 4 uses.
335. taime - 4 uses.
336. ¡te - 4 uses.
337. quiero - 4 uses.
338. jangle - 4 uses.
339. jungle - 4 uses.
340. jingle - 4 uses.
341. juggle - 4 uses.
342. missed - 4 uses.
343. bored - 4 uses.
344. ocean - 4 uses.
345. odd - 4 uses.
346. hollywood - 4 uses.
347. sleep - 4 uses.
348. wide - 4 uses.
349. yourself - 4 uses.
350. tied - 4 uses.
351. hook - 4 uses.
352. rally - 4 uses.
353. shifty - 4 uses.
354. dirty - 4 uses.
355. left - 4 uses.
356. farewell - 4 uses.
357. few - 4 uses.
358. stand - 4 uses.
359. such - 4 uses.
360. anyone - 4 uses.
361. bother - 4 uses.
362. doubt - 4 uses.
363. difference - 4 uses.
364. cut - 4 uses.
365. model - 4 uses.
366. witness - 4 uses.
367. distress - 4 uses.
368. roses - 4 uses.
369. fade - 4 uses.
370. idea - 4 uses.
371. 2610 - 4 uses.
372. fallen - 4 uses.
373. cutting - 4 uses.
374. signed - 4 uses.
375. armistice - 4 uses.
376. johns - 4 uses.
377. means - 4 uses.
378. half - 4 uses.
379. sayin - 4 uses.
380. alike - 4 uses.
381. crystal - 4 uses.
382. bamboo - 4 uses.
383. protected - 4 uses.
384. strong - 4 uses.
385. food - 4 uses.
386. sunday - 4 uses.
387. handle - 4 uses.
388. affair - 4 uses.
389. versus - 4 uses.
390. holdin - 4 uses.
391. fill - 3 uses.
392. walking - 3 uses.
393. while - 3 uses.
