Most used words by Drake: 
Number of songs scanned: 365

272. wish - 59 uses.
273. yes - 59 uses.
274. hand - 59 uses.
275. together - 58 uses.
276. forget - 58 uses.
277. fly - 58 uses.
278. free - 58 uses.
279. eyes - 57 uses.
280. past - 57 uses.
281. yo - 57 uses.
282. low - 57 uses.
283. soon - 56 uses.
284. pussy - 56 uses.
285. line - 56 uses.
286. throw - 56 uses.
287. fine - 56 uses.
288. sexy - 56 uses.
289. those - 55 uses.
290. sound - 55 uses.
291. nice - 55 uses.
292. inside - 55 uses.
293. ho - 55 uses.
294. mama - 55 uses.
295. met - 54 uses.
296. anything - 54 uses.
297. reason - 54 uses.
298. lose - 53 uses.
299. being - 53 uses.
300. coming - 53 uses.
301. story - 53 uses.
302. rest - 53 uses.
303. turned - 53 uses.
304. diamond - 53 uses.
305. pick - 52 uses.
306. flow - 52 uses.
307. motherfucker - 52 uses.
308. yourself - 51 uses.
309. friend - 51 uses.
310. set - 51 uses.
311. 6 - 51 uses.
312. until - 51 uses.
313. six - 51 uses.
314. alright - 51 uses.
315. lie - 51 uses.
316. lost - 50 uses.
317. open - 50 uses.
318. rich - 50 uses.
319. couldnt - 50 uses.
320. deep - 50 uses.
321. true - 49 uses.
322. missing - 49 uses.
323. ah - 49 uses.
324. hell - 49 uses.
325. kill - 49 uses.
326. sit - 49 uses.
327. motion - 49 uses.
328. drink - 48 uses.
329. tried - 48 uses.
330. thinking - 48 uses.
331. hundred - 48 uses.
332. car - 48 uses.
333. music - 48 uses.
334. lights - 47 uses.
335. imma - 47 uses.
336. outside - 47 uses.
337. promise - 47 uses.
338. making - 47 uses.
339. easy - 47 uses.
340. kick - 46 uses.
341. years - 46 uses.
342. tellin - 46 uses.
343. deserve - 46 uses.
344. sleep - 46 uses.
345. far - 46 uses.
346. moment - 45 uses.
347. wanted - 45 uses.
348. dirty - 45 uses.
349. ball - 45 uses.
350. four - 45 uses.
351. catch - 44 uses.
352. body - 44 uses.
353. once - 44 uses.
354. write - 44 uses.
355. three - 44 uses.
356. beat - 44 uses.
357. wouldnt - 44 uses.
358. rap - 44 uses.
359. floor - 44 uses.
360. motherfuckin - 44 uses.
361. shawty - 44 uses.
362. half - 44 uses.
363. ice - 43 uses.
364. million - 43 uses.
365. stuck - 43 uses.
366. haters - 43 uses.
367. broke - 43 uses.
368. sometimes - 43 uses.
369. loving - 43 uses.
370. anybody - 43 uses.
371. push - 43 uses.
372. faded - 42 uses.
373. cars - 42 uses.
374. kid - 42 uses.
375. diamonds - 42 uses.
376. any - 42 uses.
377. scared - 42 uses.
378. knows - 42 uses.
379. youd - 42 uses.
380. shout - 42 uses.
381. feelin - 42 uses.
