Most used words by Hatchie: 
Number of songs scanned: 19

269. rough - 1 use.
270. in-between - 1 use.
271. help - 1 use.
272. numb - 1 use.
273. laugh - 1 use.
274. power - 1 use.
275. fix - 1 use.
276. taking - 1 use.
277. care - 1 use.
278. truth - 1 use.
279. hang - 1 use.
280. ride - 1 use.
281. bike - 1 use.
282. house - 1 use.
283. route - 1 use.
284. sunset - 1 use.
285. guilt - 1 use.
286. trip - 1 use.
287. promise - 1 use.
288. easy - 1 use.
289. pretend - 1 use.
290. later - 1 use.
291. goodbye - 1 use.
292. together - 1 use.
293. because - 1 use.
294. means - 1 use.
295. came - 1 use.
296. wish - 1 use.
297. heartbreak - 1 use.
298. keepsake - 1 use.
299. heavy - 1 use.
300. arms - 1 use.
301.  - 1 use.
302. three - 1 use.
303. since - 1 use.
304. start - 1 use.
305. cooler - 1 use.
306. tried - 1 use.
307. wouldnt - 1 use.
308. nobody - 1 use.
309. lied - 1 use.
310. ones - 1 use.
311. flying - 1 use.
312. melt - 1 use.
313. blush - 1 use.
314. rush - 1 use.
315. forget - 1 use.
316. decide - 1 use.
317. provide - 1 use.
318. insides - 1 use.
319. hide - 1 use.
320. great - 1 use.
321. awaits - 1 use.
322. escape - 1 use.
323. keepin - 1 use.
324. confined - 1 use.
325. else - 1 use.
326. differences - 1 use.
327. aside - 1 use.
328. worlds - 1 use.
329. collide - 1 use.
330. piece - 1 use.
331. glass - 1 use.
332. shatter - 1 use.
333. fast - 1 use.
334. ask - 1 use.
335. leavin - 1 use.
336. buried - 1 use.
337. blowin - 1 use.
338. scientist - 1 use.
339. understand - 1 use.
340. goin - 1 use.
341. somethin - 1 use.
342. overanalyze - 1 use.
343. raisin - 1 use.
344. adrenaline - 1 use.
345. bangin - 1 use.
346. tin - 1 use.
347. lookin - 1 use.
348. commit - 1 use.
349. vanilla - 1 use.
350. skies - 1 use.
351. white - 1 use.
352. picket - 1 use.
353. fences - 1 use.
354. vision - 1 use.
355. year - 1 use.
356. ago - 1 use.
357. telling - 1 use.
358. souls - 1 use.
359. imagine - 1 use.
360. stories - 1 use.
361. untold - 1 use.
362. wed - 1 use.
363. kept - 1 use.
364. wildest - 1 use.
365. brighten - 1 use.
366. sinful - 1 use.
367. shy - 1 use.
368. line - 1 use.
369. heaven - 1 use.
370. scared - 1 use.
371. quite - 1 use.
372. room - 1 use.
373. entry - 1 use.
374. figured - 1 use.
375. charm - 1 use.
376. shame - 1 use.
377. friends - 1 use.
378. being - 1 use.
379. lonely - 1 use.
380. friday - 1 use.
381. ruin - 1 use.
382. saturday - 1 use.
383. yet - 1 use.
384. alive - 1 use.
385. party - 1 use.
386. tail - 1 use.
387. teens - 1 use.
388. stare - 1 use.
389. straight - 1 use.
