Most used words by MUNA: 
Number of songs scanned: 37

266. hurting - 4 uses.
267. carry - 4 uses.
268. helping - 4 uses.
269. fault - 4 uses.
270. massive - 4 uses.
271. atmosphere - 4 uses.
272. mirror - 4 uses.
273. iconic - 4 uses.
274. stan - 4 uses.
275. talking - 3 uses.
276. purpose - 3 uses.
277. very - 3 uses.
278. girlfriend - 3 uses.
279. standing - 3 uses.
280. hate - 3 uses.
281. imma - 3 uses.
282. late - 3 uses.
283. art - 3 uses.
284. any - 3 uses.
285. kiss - 3 uses.
286. ice - 3 uses.
287. loving - 3 uses.
288. heard - 3 uses.
289. feelings - 3 uses.
290. save - 3 uses.
291. ache - 3 uses.
292. anything - 3 uses.
293. someone - 3 uses.
294. getting - 3 uses.
295. against - 3 uses.
296. playing - 3 uses.
297. passing - 3 uses.
298. grown - 3 uses.
299. throwing - 3 uses.
300. reaching - 3 uses.
301. special - 3 uses.
302. dressed - 3 uses.
303. ride - 3 uses.
304. surprised - 3 uses.
305. cry - 3 uses.
306. hair - 3 uses.
307. road - 3 uses.
308. lovely - 3 uses.
309. bar - 3 uses.
310. skin - 3 uses.
311. world - 3 uses.
312. stand - 3 uses.
313. push - 3 uses.
314. past - 3 uses.
315. underneath - 3 uses.
316. eyes - 3 uses.
317. morning - 3 uses.
318. through - 3 uses.
319. sleep - 3 uses.
320. drink - 3 uses.
321. seems - 3 uses.
322. change - 3 uses.
323. seat - 3 uses.
324. forgive - 3 uses.
325. much - 3 uses.
326. making - 3 uses.
327. drunk - 3 uses.
328. happy - 3 uses.
329. apartment - 3 uses.
330. mid-morning - 3 uses.
331. reminder - 3 uses.
332. stayed - 3 uses.
333. hour - 3 uses.
334. came - 3 uses.
335. river - 3 uses.
336. bend - 3 uses.
337. towards - 3 uses.
338. fear - 3 uses.
339. compulsion - 3 uses.
340. sand - 3 uses.
341. wave - 3 uses.
342. emotion - 3 uses.
343. drinking - 3 uses.
344. wine - 3 uses.
345. friend - 3 uses.
346. consider - 3 uses.
347. old - 3 uses.
348. stop - 3 uses.
349. real - 3 uses.
350. blame - 3 uses.
351. shame - 3 uses.
352. dies - 3 uses.
353. hypothesis - 3 uses.
354. test - 3 uses.
355. exist - 3 uses.
356. doorway - 3 uses.
357. pulled - 2 uses.
358. 11 - 2 uses.
359. stopped - 2 uses.
360. blow - 2 uses.
361. mom - 2 uses.
362. kitchen - 2 uses.
363. gon - 2 uses.
364. fightin - 2 uses.
365. somethin - 2 uses.
366. instead - 2 uses.
367. innovation - 2 uses.
368. hey - 2 uses.
369. em - 2 uses.
370. naked - 2 uses.
371. calling - 2 uses.
372. turned - 2 uses.
373. figure - 2 uses.
374. already - 2 uses.
375. pot - 2 uses.
376. coffee - 2 uses.
377. having - 2 uses.
378. piece - 2 uses.
379. thinks - 2 uses.
380. diamond - 2 uses.
381. pain - 2 uses.
382. die - 2 uses.
383. until - 2 uses.
384. show - 2 uses.
385. sounded - 2 uses.
386. dream - 2 uses.
387. outside - 2 uses.
388. nights - 2 uses.
389. hope - 2 uses.
390. air - 2 uses.
391. june - 2 uses.
392. july - 2 uses.
393. damn - 2 uses.
394. idea - 2 uses.
395. chorus - 2 uses.
396. summer - 2 uses.
397. street - 2 uses.
398. resonation - 2 uses.
399. 808 - 2 uses.
400. awake - 2 uses.
401. moves - 2 uses.
402. wind - 2 uses.
403. untangle - 2 uses.
404. matter - 2 uses.
405. point - 2 uses.
406. proud - 2 uses.
407. drawers - 2 uses.
408. slamming - 2 uses.
409. plan - 2 uses.
410. next - 2 uses.
411. listen - 2 uses.
412. found - 2 uses.
413. wish - 2 uses.
414. serious - 2 uses.
415. yeah-yeah - 2 uses.
416. cherry - 2 uses.
417. leaves - 2 uses.
418. perfect - 2 uses.
419. knees - 2 uses.
420. open - 2 uses.
421. walk - 2 uses.
422. tears - 2 uses.
423. wondering - 2 uses.
424. broke - 2 uses.
425. flask - 2 uses.
426. jeans - 2 uses.
427. pulling - 2 uses.
428. sweater - 2 uses.
429. happening - 2 uses.
430. magnetic - 2 uses.
431. sense - 2 uses.
432. surface - 2 uses.
433. laying - 2 uses.
434. thin - 2 uses.
435. bit - 2 uses.
436. masochistic - 2 uses.
437. tentative - 2 uses.
438. ellipses - 2 uses.
439. parting - 2 uses.
440. lips - 2 uses.
441. drove - 2 uses.
442. broken - 2 uses.
443. above - 2 uses.
444. called - 2 uses.
445. compromise - 2 uses.
446. fist - 2 uses.
447. ego - 2 uses.
448. beauty - 2 uses.
449. follow - 2 uses.
450. swinging - 2 uses.
451. handle - 2 uses.
452. sleeping - 2 uses.
453. onto - 2 uses.
454. ends - 2 uses.
455. surroundings - 2 uses.
456. felt - 2 uses.
457. bigger - 2 uses.
458. cigarettes - 2 uses.
459. those - 2 uses.
460. fall - 2 uses.
461. pray - 2 uses.
462. read - 2 uses.
463. deliver - 2 uses.
464. wrong - 2 uses.
465. makes - 2 uses.
466. mini - 2 uses.
467. skirt - 2 uses.
468. rollerblades - 2 uses.
469. bag - 2 uses.
470. dawn - 2 uses.
471. keeping - 2 uses.
472. worry - 2 uses.
473. used - 2 uses.
