Most used words by Nirvana: 
Number of songs scanned: 131

268. vegetables - 9 uses.
269. round - 9 uses.
270. grass - 9 uses.
271. blow - 9 uses.
272. food - 9 uses.
273. sleep - 9 uses.
274. body - 9 uses.
275. grown - 9 uses.
276. left - 9 uses.
277. years - 9 uses.
278. ah-ah - 9 uses.
279. plant - 9 uses.
280. build - 9 uses.
281. pennyroyal - 9 uses.
282. monkey - 9 uses.
283. meat - 9 uses.
284. close - 9 uses.
285. complaint - 9 uses.
286. priceless - 9 uses.
287. stupid - 9 uses.
288. seams - 9 uses.
289. legs - 9 uses.
290. seasons - 9 uses.
291. wing - 9 uses.
292. wave - 9 uses.
293. dimension - 9 uses.
294. seven - 9 uses.
295. hang - 8 uses.
296. yes - 8 uses.
297. fire - 8 uses.
298. name - 8 uses.
299. place - 8 uses.
300. sick - 8 uses.
301. shines - 8 uses.
302. bedroom - 8 uses.
303. raining - 8 uses.
304. starts - 8 uses.
305. born - 8 uses.
306. read - 8 uses.
307. set - 8 uses.
308. someone - 8 uses.
309. last - 8 uses.
310. breathe - 8 uses.
311. daddy - 8 uses.
312. seen - 8 uses.
313. might - 8 uses.
314. world - 8 uses.
315. full - 8 uses.
316. lay - 8 uses.
317. follow - 8 uses.
318. couldnt - 8 uses.
319. killed - 8 uses.
320. human - 8 uses.
321. buzz - 8 uses.
322. hangover - 8 uses.
323. blind - 8 uses.
324. ah-ha - 8 uses.
325. swear - 7 uses.
326. heard - 7 uses.
327. done - 7 uses.
328. dry - 7 uses.
329. line - 7 uses.
330. wasnt - 7 uses.
331. aah - 7 uses.
332. burn - 7 uses.
333. broke - 7 uses.
334. hate - 7 uses.
335. lonely - 7 uses.
336. twist - 7 uses.
337. baby - 7 uses.
338. dusty - 7 uses.
339. dump - 7 uses.
340. lungs - 7 uses.
341. came - 7 uses.
342. bored - 7 uses.
343. gone - 7 uses.
344. fall - 7 uses.
345. liar - 7 uses.
346. soul - 7 uses.
347. experience - 7 uses.
348. talk - 7 uses.
349. stood - 7 uses.
350. reach - 7 uses.
351. theyll - 7 uses.
352. skin - 7 uses.
353. end - 7 uses.
354. stare - 7 uses.
355. proud - 7 uses.
356. very - 7 uses.
357. anemic - 7 uses.
358. royalty - 7 uses.
359. live - 7 uses.
360. outside - 7 uses.
361. songs - 7 uses.
362. crazy - 7 uses.
363. buried - 7 uses.
364. famous - 7 uses.
365. sky - 7 uses.
366. em - 7 uses.
367. big - 7 uses.
368. wood - 7 uses.
369. heal - 7 uses.
370. yours - 6 uses.
371. somewhere - 6 uses.
372. advantage - 6 uses.
373. situation - 6 uses.
374. quite - 6 uses.
375. intense - 6 uses.
376. remind - 6 uses.
377. try - 6 uses.
378. after - 6 uses.
379. naked - 6 uses.
380. wine - 6 uses.
381. ground - 6 uses.
382. taking - 6 uses.
383. sure - 6 uses.
384. overdo - 6 uses.
385. lights - 6 uses.
386. looking - 6 uses.
387. things - 6 uses.
388. fishin - 6 uses.
389. smoke - 6 uses.
390. other - 6 uses.
391. feed - 6 uses.
392. torch - 6 uses.
393. untie - 6 uses.
394. chase - 6 uses.
395. caught - 6 uses.
396. guard - 6 uses.
397. amazes - 6 uses.
398. instinct - 6 uses.
399. ease - 6 uses.
400. really - 6 uses.
401. hand - 6 uses.
402. folks - 6 uses.
403. shake - 6 uses.
404. next - 6 uses.
405. nowhere - 6 uses.
406. range - 6 uses.
407. enough - 6 uses.
408. plan - 6 uses.
409. ass - 6 uses.
410. feeling - 6 uses.
411. ghost - 6 uses.
412. fallen - 6 uses.
413. walk - 6 uses.
414. ask - 6 uses.
415. door - 6 uses.
416. prove - 6 uses.
417. fear - 6 uses.
418. chew - 6 uses.
419. far - 6 uses.
420. stomachs - 6 uses.
421. town - 6 uses.
422. loves - 6 uses.
423. weak - 6 uses.
424. bed - 6 uses.
425. married - 6 uses.
426. albino - 6 uses.
427. mosquito - 6 uses.
428. stress - 6 uses.
429. strain - 6 uses.
430. rhymes - 6 uses.
431. scary - 6 uses.
432. revolting - 6 uses.
433. glue - 6 uses.
434. less - 6 uses.
435. doctor - 6 uses.
436. looks - 6 uses.
437. beach - 6 uses.
438. shamed - 6 uses.
439. kept - 6 uses.
440. ashamed - 6 uses.
441. defect - 6 uses.
442. reject - 6 uses.
443. late - 5 uses.
444. till - 5 uses.
445. learned - 5 uses.
446. special - 5 uses.
447. lend - 5 uses.
448. date - 5 uses.
449. ate - 5 uses.
450. once - 5 uses.
451. burns - 5 uses.
452. speak - 5 uses.
453. enemies - 5 uses.
454. shaved - 5 uses.
455. meet - 5 uses.
456. such - 5 uses.
457. birds - 5 uses.
458. book - 5 uses.
459. saturday - 5 uses.
460. wife - 5 uses.
461. vagina - 5 uses.
462. walls - 5 uses.
463. throw - 5 uses.
464. rhyme - 5 uses.
465. image - 5 uses.
466. asked - 5 uses.
467. stays - 5 uses.
468. check - 5 uses.
469. disgrace - 5 uses.
470. knows - 5 uses.
471. country - 5 uses.
472. least - 5 uses.
473. hit - 5 uses.
474. everyday - 5 uses.
475. sand - 5 uses.
476. drone - 5 uses.
477. stoned - 5 uses.
478. kind - 5 uses.
479. matter - 5 uses.
480. steal - 5 uses.
481. lack - 5 uses.
482. under - 5 uses.
483. news - 5 uses.
484. stayed - 5 uses.
485. spend - 5 uses.
486. worn - 5 uses.
487. crown - 5 uses.
488. thorns - 5 uses.
489. towards - 5 uses.
490. wind - 5 uses.
491. cow - 5 uses.
492. deal - 5 uses.
493. dinner - 5 uses.
494. travel - 5 uses.
495. driftwood - 5 uses.
496. burlap - 5 uses.
497. sedated - 5 uses.
498. clear - 5 uses.
499. climb - 5 uses.
500. dead - 5 uses.
501. contagious - 5 uses.
502. mulatto - 5 uses.
503. teacher - 5 uses.
504. color - 5 uses.
505. groom - 5 uses.
506. mouth - 5 uses.
507. himself - 5 uses.
508. watch - 5 uses.
509. started - 5 uses.
510. street - 5 uses.
511. pretend - 5 uses.
512. having - 5 uses.
513. kid - 5 uses.
514. ago - 5 uses.
515. stairs - 5 uses.
516. groan - 5 uses.
517. sleeping - 5 uses.
518. joy - 5 uses.
519. cheese - 5 uses.
520. safe - 4 uses.
521. ear - 4 uses.
522. shoe - 4 uses.
523. clue - 4 uses.
524. standing - 4 uses.
525. smile - 4 uses.
526. met - 4 uses.
527. mom - 4 uses.
528. soon - 4 uses.
529. paid - 4 uses.
530. soothing - 4 uses.
531. turns - 4 uses.
532. today - 4 uses.
533. blame - 4 uses.
534. buy - 4 uses.
535. called - 4 uses.
536. fly - 4 uses.
537. monday - 4 uses.
538. tuesday - 4 uses.
539. wednesday - 4 uses.
540. thursday - 4 uses.
541. friday - 4 uses.
542. jar - 4 uses.
543. breathing - 4 uses.
544. holes - 4 uses.
545. cover - 4 uses.
546. conclusion - 4 uses.
547. moist - 4 uses.
548. sell - 4 uses.
549. extremes - 4 uses.
550. father - 4 uses.
551. young - 4 uses.
552. complete - 4 uses.
553. lover - 4 uses.
554. signal - 4 uses.
555. waiting - 4 uses.
556. lot - 4 uses.
