Most used words by  Microwave: 
Number of songs scanned: 41

269. everyone - 3 uses.
270. thought - 3 uses.
271. tear - 3 uses.
272. build - 3 uses.
273. window - 3 uses.
274. cheap - 3 uses.
275. three - 3 uses.
276. rent - 3 uses.
277. walked - 3 uses.
278. parked - 3 uses.
279. ignore - 3 uses.
280. wave - 3 uses.
281. resigned - 3 uses.
282. easier - 3 uses.
283. clear - 3 uses.
284. thoughts - 3 uses.
285. smile - 3 uses.
286. help - 3 uses.
287. done - 3 uses.
288. waste - 3 uses.
289. mine - 3 uses.
290. second - 3 uses.
291. town - 3 uses.
292. damn - 3 uses.
293. felt - 3 uses.
294. ring - 3 uses.
295. apartment - 3 uses.
296. owned - 3 uses.
297. known - 3 uses.
298. reach - 3 uses.
299. show - 3 uses.
300. wasting - 3 uses.
301. fucked - 3 uses.
302. roaches - 3 uses.
303. far - 3 uses.
304. fuck - 3 uses.
305. knees - 3 uses.
306. shame - 3 uses.
307. broken - 3 uses.
308. screamed - 3 uses.
309. blame - 3 uses.
310. wish - 3 uses.
311. die - 3 uses.
312. bleach - 3 uses.
313. thick - 3 uses.
314. moving - 3 uses.
315. dog - 3 uses.
316. half - 3 uses.
317. tired - 3 uses.
318. weak - 3 uses.
319. wonder - 3 uses.
320. clean - 3 uses.
321. ground - 3 uses.
322. hole - 3 uses.
323. hurting - 3 uses.
324. anyone - 3 uses.
325. isnt - 3 uses.
326. scene - 3 uses.
327. paint - 3 uses.
328. doesnt - 3 uses.
329. move - 3 uses.
330. weve - 3 uses.
331. running - 3 uses.
332. sit - 3 uses.
333. great - 3 uses.
334. okay - 3 uses.
335. buy - 3 uses.
336. peaceful - 3 uses.
337. fits - 3 uses.
338. heaven - 3 uses.
339. soul - 3 uses.
340. warm - 3 uses.
341. swallow - 3 uses.
342. lifeless - 3 uses.
343. desperation - 3 uses.
344. finish - 3 uses.
345. front - 3 uses.
346. beater - 3 uses.
347. conversations - 3 uses.
348. wire - 3 uses.
349. brain - 3 uses.
350. shorting - 3 uses.
351. rather - 3 uses.
352. meaning - 3 uses.
353. anyways - 3 uses.
354. pushed - 3 uses.
355. pedal - 3 uses.
356. swear - 3 uses.
357. working - 3 uses.
358. blow - 2 uses.
359. fifths - 2 uses.
360. mouth - 2 uses.
361. swim - 2 uses.
362. float - 2 uses.
363. glow - 2 uses.
364. wear - 2 uses.
365. secret - 2 uses.
366. yell - 2 uses.
367. weekends - 2 uses.
368. spot - 2 uses.
369. shake - 2 uses.
370. fevered - 2 uses.
371. longing - 2 uses.
372. corners - 2 uses.
373. showed - 2 uses.
374. ago - 2 uses.
375. times - 2 uses.
376. anymore - 2 uses.
377. mess - 2 uses.
378. drinks - 2 uses.
379. clench - 2 uses.
380. shakin - 2 uses.
381. wouldve - 2 uses.
382. killed - 2 uses.
383. wouldnt - 2 uses.
384. fence - 2 uses.
385. finished - 2 uses.
386. bathroom - 2 uses.
387. asked - 2 uses.
388. least - 2 uses.
389. wed - 2 uses.
390. places - 2 uses.
391. feelings - 2 uses.
392. lose - 2 uses.
393. control - 2 uses.
394. i’d - 2 uses.
395. drop - 2 uses.
396. anywhere - 2 uses.
397. might - 2 uses.
398. regrets - 2 uses.
399. porch - 2 uses.
400. tight - 2 uses.
401. jeans - 2 uses.
402. wallet - 2 uses.
403. miles - 2 uses.
404. food - 2 uses.
405. drive - 2 uses.
406. crooked - 2 uses.
407. stale - 2 uses.
408. punchline - 2 uses.
409. quote - 2 uses.
410. neighbor - 2 uses.
411. asshole - 2 uses.
412. wrote - 2 uses.
413. awkward - 2 uses.
414. ends - 2 uses.
415. replace - 2 uses.
416. ones - 2 uses.
417. cutting - 2 uses.
418. ties - 2 uses.
419. learning - 2 uses.
420. knots - 2 uses.
421. tie - 2 uses.
422. pathetic - 2 uses.
423. alone - 2 uses.
424. knocked - 2 uses.
425. breath - 2 uses.
426. street - 2 uses.
427. saw - 2 uses.
428. girls - 2 uses.
429. once - 2 uses.
430. couldnt - 2 uses.
431. breathe - 2 uses.
432. looks - 2 uses.
433. shouldve - 2 uses.
434. college - 2 uses.
435. fight - 2 uses.
436. stomach - 2 uses.
437. past - 2 uses.
438. hasnt - 2 uses.
439. phrase - 2 uses.
440. morning - 2 uses.
441. neon - 2 uses.
442. lights - 2 uses.
443. deafening - 2 uses.
444. yours - 2 uses.
445. spending - 2 uses.
446. between - 2 uses.
447. perfect - 2 uses.
448. together - 2 uses.
449. hit - 2 uses.
450. ornery - 2 uses.
451. roll - 2 uses.
452. almost - 2 uses.
453. puking - 2 uses.
454. drawers - 2 uses.
455. sink - 2 uses.
456. exactly - 2 uses.
457. pass - 2 uses.
458. cynical - 2 uses.
459. vulnerable - 2 uses.
460. crutch - 2 uses.
461. missed - 2 uses.
462. braces - 2 uses.
463. busted - 2 uses.
464. ringing - 2 uses.
465. everywhere - 2 uses.
466. distance - 2 uses.
467. scratched - 2 uses.
468. gasoline - 2 uses.
469. cover - 2 uses.
470. flames - 2 uses.
471. spat - 2 uses.
472. spit - 2 uses.
473. light - 2 uses.
474. reached - 2 uses.
475. outward - 2 uses.
476. alive - 2 uses.
477. soil - 2 uses.
478. kitchen - 2 uses.
479. healing - 2 uses.
480. bound - 2 uses.
481. slowly - 2 uses.
482. enough - 2 uses.
483. ending - 2 uses.
484. mouths - 2 uses.
485. sleepless - 2 uses.
486. forever - 2 uses.
487. shirt - 2 uses.
488. until - 2 uses.
489. comes - 2 uses.
490. bruises - 2 uses.
491. uncomfortable - 2 uses.
492. legs - 2 uses.
493. entwined - 2 uses.
494. pretending - 2 uses.
495. low - 2 uses.
496. skin - 2 uses.
497. froze - 2 uses.
498. countys - 2 uses.
499. shutting - 2 uses.
500. roads - 2 uses.
501. seasons - 2 uses.
502. kick - 2 uses.
