Most used words by Creeper: 
Number of songs scanned: 55

267. other - 5 uses.
268. fell - 5 uses.
269. far - 5 uses.
270. ending - 5 uses.
271. grieving - 5 uses.
272. blame - 5 uses.
273. barely - 5 uses.
274. melt - 5 uses.
275. devil - 5 uses.
276. tears - 5 uses.
277. window - 5 uses.
278. anybody - 5 uses.
279. set - 5 uses.
280. fire - 5 uses.
281. slow - 5 uses.
282. hour - 5 uses.
283. living - 5 uses.
284. falling - 5 uses.
285. recall - 5 uses.
286. screamed - 5 uses.
287. shut - 5 uses.
288. mouth - 5 uses.
289. sea - 5 uses.
290. thrown - 5 uses.
291. drinking - 5 uses.
292. stand - 5 uses.
293. moment - 5 uses.
294. tired - 5 uses.
295. roll - 5 uses.
296. gone - 5 uses.
297. getting - 5 uses.
298. club - 5 uses.
299. reasons - 5 uses.
300. misery - 5 uses.
301. style - 5 uses.
302. fear - 5 uses.
303. learnt - 5 uses.
304. worst - 5 uses.
305. treat - 5 uses.
306. weve - 5 uses.
307. fading - 5 uses.
308. evidence - 5 uses.
309. stale - 5 uses.
310. perfume - 5 uses.
311. shed - 4 uses.
312. angel - 4 uses.
313. hung - 4 uses.
314. almost - 4 uses.
315. coming - 4 uses.
316. behind - 4 uses.
317. payphone - 4 uses.
318. another - 4 uses.
319. run - 4 uses.
320. car - 4 uses.
321. lights - 4 uses.
322. faced - 4 uses.
323. choice - 4 uses.
324. coy - 4 uses.
325. nightmare - 4 uses.
326. thought - 4 uses.
327. done - 4 uses.
328. promised - 4 uses.
329. city - 4 uses.
330. poison - 4 uses.
331. space - 4 uses.
332. though - 4 uses.
333. lungs - 4 uses.
334. really - 4 uses.
335. wilt - 4 uses.
336. trite - 4 uses.
337. dissipate - 4 uses.
338. anything - 4 uses.
339. hearts - 4 uses.
340. falls - 4 uses.
341. lives - 4 uses.
342. count - 4 uses.
343. words - 4 uses.
344. along - 4 uses.
345. real - 4 uses.
346. confess - 4 uses.
347. flaws - 4 uses.
348. ceiling - 4 uses.
349. million - 4 uses.
350. ghosts - 4 uses.
351. throat - 4 uses.
