Most used words by  Cleopatrick: 
Number of songs scanned: 20

266. half - 2 uses.
267. kids - 2 uses.
268. ear - 2 uses.
269. held - 2 uses.
270. year - 2 uses.
271. bummer - 2 uses.
272. goes - 2 uses.
273. bridge - 2 uses.
274. wasnt - 2 uses.
275. planned - 2 uses.
276. words - 2 uses.
277. fresh - 2 uses.
278. axe - 2 uses.
279. shook - 2 uses.
280. holding - 2 uses.
281. skin - 2 uses.
282. dream - 2 uses.
283. stiff - 2 uses.
284. instagram - 2 uses.
285. pyramid - 2 uses.
286. scheme - 2 uses.
287. leave - 2 uses.
288. beef - 2 uses.
289. ig - 2 uses.
290. feed - 2 uses.
291. filled - 2 uses.
292. town - 2 uses.
293. laying - 2 uses.
294. while - 2 uses.
295. pen - 2 uses.
296. rough - 2 uses.
297. changed - 2 uses.
298. young - 2 uses.
299. scared - 2 uses.
300. running - 2 uses.
301. halls - 2 uses.
302. star - 2 uses.
303. norms - 2 uses.
304. others - 2 uses.
305. save - 2 uses.
306. yourselves - 2 uses.
307. bunch - 2 uses.
308. sinners - 2 uses.
309. die - 2 uses.
310. human - 2 uses.
311. curse - 2 uses.
312. genocide - 2 uses.
313. white - 2 uses.
314. worse - 2 uses.
315. seat - 2 uses.
316. change - 2 uses.
317. either - 2 uses.
318. suns - 2 uses.
319. songs - 2 uses.
320. stare - 2 uses.
321. riding - 2 uses.
322. alright - 2 uses.
323. important - 2 uses.
324. dormant - 2 uses.
325. neat - 2 uses.
326. happen - 2 uses.
327. sleep - 2 uses.
328. bed - 2 uses.
329. train - 2 uses.
330. spitting - 2 uses.
331. sheets - 2 uses.
332. long - 2 uses.
333. - - 2 uses.
334. short - 2 uses.
335. till - 2 uses.
336. sand - 2 uses.
337. screaming - 2 uses.
338. went - 2 uses.
339. plan - 2 uses.
340. prints - 2 uses.
341. daphne - 2 uses.
342. please - 2 uses.
343. bend - 2 uses.
344. splitting - 2 uses.
345. crooks - 2 uses.
346. havent - 2 uses.
347. walked - 2 uses.
348. here - 2 uses.
349. damn - 2 uses.
350. straight - 2 uses.
351. another - 2 uses.
352. those - 2 uses.
353. miss - 2 uses.
354. lately - 2 uses.
355. sweat - 2 uses.
356. died - 2 uses.
