Most used words by Watsky: 
Number of songs scanned: 117

273. walls - 16 uses.
274. half - 16 uses.
275. wouldnt - 16 uses.
276. spit - 16 uses.
277. ladies - 16 uses.
278. rock - 16 uses.
279. making - 16 uses.
280. stick - 16 uses.
281. givem - 16 uses.
282. oak - 16 uses.
283. hands - 15 uses.
284. roll - 15 uses.
285. quite - 15 uses.
286. crack - 15 uses.
287. side - 15 uses.
288. most - 15 uses.
289. working - 15 uses.
290. bigger - 15 uses.
291. house - 15 uses.
292. wonder - 15 uses.
293. tiny - 15 uses.
294. kinda - 15 uses.
295. game - 15 uses.
296. drink - 15 uses.
297. drunk - 15 uses.
298. gone - 15 uses.
299. loves - 15 uses.
300. move - 15 uses.
301. hearts - 15 uses.
302. alone - 15 uses.
303. done - 15 uses.
304. trees - 15 uses.
305. story - 15 uses.
306. pay - 14 uses.
307. quick - 14 uses.
308. yet - 14 uses.
309. free - 14 uses.
310. above - 14 uses.
311. eyes - 14 uses.
312. small - 14 uses.
313. without - 14 uses.
314. yourself - 14 uses.
315. gimme - 14 uses.
316. bed - 14 uses.
317. seen - 14 uses.
318. any - 14 uses.
319. party - 14 uses.
320. sit - 14 uses.
321. eat - 14 uses.
322. fat - 14 uses.
323. bring - 14 uses.
324. loved - 14 uses.
325. cry - 14 uses.
326. ask - 14 uses.
327. anybody - 14 uses.
328. quit - 13 uses.
329. folks - 13 uses.
330. block - 13 uses.
331. dream - 13 uses.
332. fun - 13 uses.
333. piece - 13 uses.
334. pass - 13 uses.
335. found - 13 uses.
336. grab - 13 uses.
337. five - 13 uses.
338. flow - 13 uses.
339. dark - 13 uses.
340. felt - 13 uses.
341. started - 13 uses.
342. motherfucker - 13 uses.
343. ground - 13 uses.
344. hair - 13 uses.
345. lie - 13 uses.
346. guy - 13 uses.
347. ima - 13 uses.
348. floor - 13 uses.
349. behind - 13 uses.
350. bottle - 13 uses.
351. gets - 13 uses.
352. tonight - 13 uses.
353. perfect - 13 uses.
354. grow - 13 uses.
355. wasnt - 13 uses.
356. shirts - 13 uses.
357. bought - 13 uses.
358. sorry - 13 uses.
359. growing - 13 uses.
360. catch - 12 uses.
361. built - 12 uses.
362. complaints - 12 uses.
363. conversation - 12 uses.
364. check - 12 uses.
365. win - 12 uses.
366. age - 12 uses.
367. seat - 12 uses.
368. easy - 12 uses.
369. ‘cause - 12 uses.
370. paper - 12 uses.
371. outside - 12 uses.
372. drop - 12 uses.
373. pen - 12 uses.
374. line - 12 uses.
375. gave - 12 uses.
376. doubt - 12 uses.
377. california - 12 uses.
378. wish - 12 uses.
379. fill - 12 uses.
380. ones - 12 uses.
381. lives - 12 uses.
382. bar - 12 uses.
383. sitting - 12 uses.
384. late - 12 uses.
385. instead - 12 uses.
