Most used words by dodie: 
Number of songs scanned: 104

269. fun - 8 uses.
270. stop - 8 uses.
271. fate - 8 uses.
272. worry - 8 uses.
273. place - 8 uses.
274. single - 8 uses.
275. early - 8 uses.
276. yet - 8 uses.
277. lucky - 8 uses.
278. thank - 8 uses.
279. years - 8 uses.
280. perfect - 8 uses.
281. meet - 8 uses.
282. instead - 8 uses.
283. black - 8 uses.
284. losing - 8 uses.
285. everything - 8 uses.
286. hurt - 8 uses.
287. next - 8 uses.
288. stuck - 8 uses.
289. listen - 8 uses.
290. struck - 8 uses.
291. warm - 7 uses.
292. build - 7 uses.
293. broken - 7 uses.
294. cry - 7 uses.
295. shout - 7 uses.
296. going - 7 uses.
297. dance - 7 uses.
298. comes - 7 uses.
299. hell - 7 uses.
300. own - 7 uses.
301. shut - 7 uses.
302. weve - 7 uses.
303. any - 7 uses.
304. great - 7 uses.
305. standing - 7 uses.
306. ten - 7 uses.
307. taught - 7 uses.
308. share - 7 uses.
309. stand - 7 uses.
310. already - 7 uses.
311. three - 7 uses.
312. forget - 7 uses.
313. safe - 7 uses.
314. wouldnt - 7 uses.
315. stars - 7 uses.
316. secretly - 7 uses.
317. watched - 7 uses.
318. bored - 7 uses.
319. die - 7 uses.
320. last - 7 uses.
321. sense - 7 uses.
322. felt - 7 uses.
323. laugh - 7 uses.
324. theyll - 7 uses.
325. worth - 7 uses.
326. win - 7 uses.
327. thunder - 7 uses.
328. eat - 7 uses.
329. anyone - 7 uses.
330. four - 7 uses.
331. number - 7 uses.
332. turn - 7 uses.
333. storm - 7 uses.
334. city - 7 uses.
335. nice - 6 uses.
336. smiles - 6 uses.
337. waited - 6 uses.
338. smiling - 6 uses.
339. line - 6 uses.
340. walk - 6 uses.
341. bright - 6 uses.
342. million - 6 uses.
343. beautiful - 6 uses.
344. forward - 6 uses.
345. days - 6 uses.
346. dancing - 6 uses.
347. strong - 6 uses.
348. belong - 6 uses.
349. sun - 6 uses.
350. trust - 6 uses.
351. changed - 6 uses.
352. kiss - 6 uses.
353. spend - 6 uses.
354. other - 6 uses.
355. top - 6 uses.
356. pain - 6 uses.
357. light - 6 uses.
358. heavy - 6 uses.
359. usually - 6 uses.
360. flats - 6 uses.
361. fast - 6 uses.
362. ground - 6 uses.
363. carry - 6 uses.
364. pick - 6 uses.
365. tears - 6 uses.
366. moment - 6 uses.
367. busy - 6 uses.
