Most used words by Underoath: 
Number of songs scanned: 96

270. being - 7 uses.
271. leaves - 7 uses.
272. such - 7 uses.
273. cold - 7 uses.
274. hurt - 7 uses.
275. angels - 7 uses.
276. broken - 7 uses.
277. came - 7 uses.
278. finally - 7 uses.
279. wash - 7 uses.
280. faith - 7 uses.
281. care - 7 uses.
282. spirit - 7 uses.
283. ready - 7 uses.
284. beating - 7 uses.
285. dark - 7 uses.
286. goodbyes - 7 uses.
287. must - 7 uses.
288. hoping - 7 uses.
289. fell - 7 uses.
290. line - 7 uses.
291. already - 7 uses.
292. useless - 7 uses.
293. lives - 7 uses.
294. teeth - 7 uses.
295. mountain - 7 uses.
296. pry - 7 uses.
297. madness - 7 uses.
298. pain - 6 uses.
299. ones - 6 uses.
300. child - 6 uses.
301. salvation - 6 uses.
302. sleepin - 6 uses.
303. somethings - 6 uses.
304. mouth - 6 uses.
305. black - 6 uses.
306. happening - 6 uses.
307. gun - 6 uses.
308. accept - 6 uses.
309. locked - 6 uses.
310. complaint - 6 uses.
311. debt - 6 uses.
312. priceless - 6 uses.
313. dry - 6 uses.
314. search - 6 uses.
315. dig - 6 uses.
316. forget - 6 uses.
317. swimming - 6 uses.
318. blame - 6 uses.
319. forgot - 6 uses.
320. start - 6 uses.
321. other - 6 uses.
322. looking - 6 uses.
323. any - 6 uses.
324. touch - 6 uses.
325. fresh - 6 uses.
326. burden - 6 uses.
327. old - 6 uses.
328. ghost - 6 uses.
329. rain - 6 uses.
330. sin - 6 uses.
331. brings - 6 uses.
332. understand - 6 uses.
333. sides - 6 uses.
334. waste - 6 uses.
335. breaks - 6 uses.
336. disease - 6 uses.
337. tie - 6 uses.
338. stronger - 6 uses.
339. grace - 6 uses.
340. patience - 6 uses.
341. listening - 6 uses.
342. thy - 6 uses.
343. souls - 6 uses.
344. edge - 6 uses.
345. best - 6 uses.
346. stabbed - 6 uses.
347. headed - 6 uses.
348. drain - 6 uses.
349. chasing - 6 uses.
350. ps - 6 uses.
351. damn - 6 uses.
352. doesnt - 5 uses.
353. runs - 5 uses.
354. loud - 5 uses.
355. taken - 5 uses.
356. enter - 5 uses.
357. darkest - 5 uses.
358. numb - 5 uses.
359. mold - 5 uses.
360. outside - 5 uses.
361. saw - 5 uses.
362. staring - 5 uses.
363. couldnt - 5 uses.
364. knew - 5 uses.
365. lying - 5 uses.
366. easy - 5 uses.
367. victim - 5 uses.
368. sorry - 5 uses.
369. earth - 5 uses.
370. prayed - 5 uses.
371. romance - 5 uses.
372. years - 5 uses.
373. survive - 5 uses.
374. next - 5 uses.
375. stay - 5 uses.
376. float - 5 uses.
377. hollow - 5 uses.
378. walking - 5 uses.
