Most used words by Alt-J: 
Number of songs scanned: 51

265. white - 4 uses.
266. clean - 4 uses.
267. close - 4 uses.
268. forget - 4 uses.
269. seeks - 4 uses.
270. water - 4 uses.
271. lie - 4 uses.
272. dans - 4 uses.
273. gripped - 4 uses.
274. full - 4 uses.
275. stops - 4 uses.
276. wild - 4 uses.
277. along - 4 uses.
278. fear - 4 uses.
279. hugs - 4 uses.
280. count - 4 uses.
281. japanese - 4 uses.
282. black - 4 uses.
283. bed - 4 uses.
284. stones - 4 uses.
285. four - 4 uses.
286. might - 4 uses.
287. slap - 4 uses.
288. hell - 4 uses.
289. safe - 4 uses.
290. burning - 4 uses.
291. heat - 4 uses.
292. c-o-double-m-o-n - 4 uses.
293. quelea - 4 uses.
294. bring - 4 uses.
295. through - 4 uses.
296. roll - 4 uses.
297. everything - 4 uses.
298. damn - 4 uses.
299. really - 4 uses.
300. voice - 4 uses.
301. friends - 4 uses.
302. days - 4 uses.
303. hi - 4 uses.
304. calm - 4 uses.
305. teeth - 4 uses.
306. guns - 4 uses.
307. about - 4 uses.
308. matador - 4 uses.
309. pulse - 4 uses.
310. rubbing - 4 uses.
311. ruin - 4 uses.
312. god - 4 uses.
313. scratch - 4 uses.
314. legions - 4 uses.
315. sink - 4 uses.
316. waste - 4 uses.
317. caught - 4 uses.
318. dear - 4 uses.
319. sinking - 4 uses.
320. mine - 4 uses.
321. five - 4 uses.
322. watch - 4 uses.
323. cali - 4 uses.
324. bottom - 4 uses.
325. taro - 4 uses.
326. after - 4 uses.
327. und - 4 uses.
328. keine - 4 uses.
329. choice - 4 uses.
330. kingdom - 4 uses.
331. rule - 4 uses.
332. britannia - 4 uses.
333. beautiful - 4 uses.
334. nod - 4 uses.
335. canon - 4 uses.
336. te - 4 uses.
337. pour - 4 uses.
338. et - 4 uses.
339. ma - 4 uses.
340. dire - 4 uses.
341. cest - 4 uses.
342. threw - 4 uses.
343. ooooh - 4 uses.
344. royal - 4 uses.
345. canal - 4 uses.
346. cover - 4 uses.
347. bark - 4 uses.
348. espérance - 4 uses.
349. traversé - 4 uses.
350. crossed - 4 uses.
351. escher - 4 uses.
352. pop - 4 uses.
353. clips - 4 uses.
354. bitch - 4 uses.
355. hip - 4 uses.
356. es - 3 uses.
357. y - 3 uses.
358. un - 3 uses.
359. el - 3 uses.
360. lying - 3 uses.
361. while - 3 uses.
362. lies - 3 uses.
363. instead - 3 uses.
364. warm - 3 uses.
365. round - 3 uses.
366. motion - 3 uses.
367. lungs - 3 uses.
368. hear - 3 uses.
369. smile - 3 uses.
370. trala - 3 uses.
371. tra-a-la - 3 uses.
372. woman - 3 uses.
373. queue - 3 uses.
374. ring - 3 uses.
375. gun - 3 uses.
376. youth - 3 uses.
377. pressed - 3 uses.
378. weight - 3 uses.
379. thousand - 3 uses.
380. tears - 3 uses.
381. body - 3 uses.
382. marry - 3 uses.
383. warmest - 3 uses.
384. colour - 3 uses.
385. comes - 3 uses.
386. follow - 3 uses.
387. thought - 3 uses.
388. discovered - 3 uses.
389. found - 3 uses.
390. soggy - 3 uses.
391. clothes - 3 uses.
392. breezeblocks - 3 uses.
393. grips - 3 uses.
394. march - 3 uses.
395. boil - 3 uses.
396. family - 3 uses.
397. hmm - 3 uses.
398. sang - 3 uses.
399. depths - 3 uses.
400. rivers - 3 uses.
401. picked - 3 uses.
402. door - 3 uses.
403. gorgeous - 3 uses.
404. knees - 3 uses.
405. kyu - 3 uses.
406. outside - 3 uses.
407. rolls - 3 uses.
408. eye - 3 uses.
409. real - 3 uses.
410. past - 3 uses.
411. bad - 3 uses.
412. women - 3 uses.
413. enough - 3 uses.
414. lamp - 3 uses.
