Most used words by Pinegrove: 
Number of songs scanned: 49

267. happen - 3 uses.
268. hands - 3 uses.
269. told - 3 uses.
270. nice - 3 uses.
271. feels - 3 uses.
272. limits - 3 uses.
273. neighbor - 3 uses.
274. behavior - 3 uses.
275. bout - 3 uses.
276. mouth - 2 uses.
277. start - 2 uses.
278. mean - 2 uses.
279. self - 2 uses.
280. blinds - 2 uses.
281. wind - 2 uses.
282. clear - 2 uses.
283. throat - 2 uses.
284. mile - 2 uses.
285. pattern - 2 uses.
286. hide - 2 uses.
287. isnt - 2 uses.
288. example - 2 uses.
289. stop - 2 uses.
290. also - 2 uses.
291. loss - 2 uses.
292. lonely - 2 uses.
293. satisfied - 2 uses.
294. lot - 2 uses.
295. aphasia - 2 uses.
296. nerves - 2 uses.
297. confidence - 2 uses.
298. stick - 2 uses.
299. stride - 2 uses.
300. quiet - 2 uses.
301. next - 2 uses.
302. silence - 2 uses.
303. full - 2 uses.
304. doubt - 2 uses.
305. nah - 2 uses.
306. reaching - 2 uses.
307. overthrown - 2 uses.
308. edge - 2 uses.
309. ears - 2 uses.
310. hours - 2 uses.
311. nothing… - 2 uses.
312. contorted - 2 uses.
313. row - 2 uses.
314. antlers - 2 uses.
315. cut - 2 uses.
316. bodies - 2 uses.
317. unison - 2 uses.
318. within - 2 uses.
319. burning - 2 uses.
320. houses - 2 uses.
321. moved - 2 uses.
322. being - 2 uses.
323. certain - 2 uses.
324. angry - 2 uses.
325. weak - 2 uses.
326. longing - 2 uses.
327. rectangle - 2 uses.
328. bet - 2 uses.
329. darling - 2 uses.
330. wonder - 2 uses.
331. commit - 2 uses.
332. road - 2 uses.
333. loud - 2 uses.
334. early - 2 uses.
335. ourselves - 2 uses.
336. trembling - 2 uses.
337. horizons - 2 uses.
338. collapsing - 2 uses.
339. shit - 2 uses.
340. floor - 2 uses.
341. uniform - 2 uses.
342. divided - 2 uses.
343. align - 2 uses.
344. wreckage - 2 uses.
345. silver - 2 uses.
346. strung - 2 uses.
347. page - 2 uses.
348. book - 2 uses.
349. found - 2 uses.
350. undone - 2 uses.
351. posture - 2 uses.
352. lighting - 2 uses.
353. evening - 2 uses.
354. vision - 2 uses.
355. spinning - 2 uses.
356. marigold - 2 uses.
357. heart - 2 uses.
358. gotta - 2 uses.
359. walk - 2 uses.
360. yesterday - 2 uses.
361. says - 2 uses.
362. thing - 2 uses.
363. fold - 2 uses.
364. island - 2 uses.
365. shape - 2 uses.
366. circle - 2 uses.
367. cardinal - 2 uses.
368. waking - 2 uses.
369. stubborn - 2 uses.
370. drawn - 2 uses.
371. finally - 2 uses.
372. compass - 2 uses.
373. steps - 2 uses.
374. afternoon - 2 uses.
375. happiness - 2 uses.
376. fucked - 2 uses.
377. quick - 2 uses.
378. getting - 2 uses.
379. splitting - 2 uses.
380. violent - 2 uses.
381. skies - 2 uses.
382. eyelids - 2 uses.
383. comes - 2 uses.
384. startling - 2 uses.
385. true - 2 uses.
386. totally - 2 uses.
387. tried - 2 uses.
388. shirt - 2 uses.
389. tucked - 2 uses.
390. repeating - 2 uses.
391. repeat - 2 uses.
392. difference - 2 uses.
393. center - 2 uses.
394. letters - 2 uses.
395. kind - 2 uses.
396. somethings - 2 uses.
397. those - 2 uses.
398. arms - 2 uses.
399. closed - 2 uses.
400. toothache - 2 uses.
401. dead - 2 uses.
402. summertime - 2 uses.
403. inclined - 2 uses.
404. heartbeat - 2 uses.
405. sand - 2 uses.
406. damnit - 2 uses.
407. screaming - 2 uses.
408. moment - 2 uses.
409. stomach - 2 uses.
410. circling - 2 uses.
411. capture - 2 uses.
412. finger - 2 uses.
413. moments - 2 uses.
414. moves - 2 uses.
415. ashamed - 2 uses.
416. tryin - 2 uses.
417. problems - 2 uses.
418. supposed - 2 uses.
419. snow - 2 uses.
420. years - 2 uses.
421. phone - 2 uses.
422. assume - 2 uses.
423. sunday - 2 uses.
424. west - 2 uses.
425. cats - 2 uses.
426. cradle - 2 uses.
427. fable - 2 uses.
428. slide - 2 uses.
429. table - 2 uses.
430. met - 2 uses.
431. mother - 2 uses.
432. father - 2 uses.
433. writing - 2 uses.
434. rise - 2 uses.
435. probably - 2 uses.
436. alcohol - 2 uses.
437. besides - 2 uses.
438. resolve - 2 uses.
439. everybody - 2 uses.
440. voice - 2 uses.
441. layer - 2 uses.
442. shed - 2 uses.
443. impossible - 2 uses.
444. tends - 2 uses.
445. sublimate - 2 uses.
446. drop - 2 uses.
447. orange - 2 uses.
448. warn - 2 uses.
449. fucking - 2 uses.
450. hell - 2 uses.
451. die - 2 uses.
452. dance - 2 uses.
453. idle - 2 uses.
454. curiosity - 2 uses.
455. yellow - 2 uses.
456. front - 2 uses.
457. wander - 2 uses.
