Most used words by Turnover: 
Number of songs scanned: 57

269. hurts - 4 uses.
270. move - 4 uses.
271. lot - 4 uses.
272. alright - 4 uses.
273. cut - 4 uses.
274. song - 4 uses.
275. game - 4 uses.
276. probably - 4 uses.
277. red - 4 uses.
278. catch - 4 uses.
279. loud - 4 uses.
280. matter - 4 uses.
281. lying - 4 uses.
282. god - 4 uses.
283. til - 4 uses.
284. struggling - 4 uses.
285. beneath - 4 uses.
286. running - 4 uses.
287. falling - 4 uses.
288. makes - 4 uses.
289. promise - 4 uses.
290. carry - 4 uses.
291. called - 4 uses.
292. lowest - 4 uses.
293. youd - 4 uses.
294. living - 4 uses.
295. side - 4 uses.
296. girl - 4 uses.
297. water - 4 uses.
298. color - 4 uses.
299. weve - 4 uses.
300. tomorrow - 4 uses.
301. wondered - 4 uses.
302. ah - 4 uses.
303. ahh - 4 uses.
304. ahaaahaaaaa - 4 uses.
305. needed - 4 uses.
306. grow - 4 uses.
307. pain - 4 uses.
308. fell - 4 uses.
309. laid - 4 uses.
310. wide - 4 uses.
311. spending - 4 uses.
312. breathing - 4 uses.
313. everyday - 4 uses.
314. swear - 4 uses.
315. heat - 4 uses.
316. nervous - 4 uses.
317. celebrating - 4 uses.
318. holding - 4 uses.
319. working - 4 uses.
320. minute - 4 uses.
321. moments - 4 uses.
322. waist - 4 uses.
323. arent - 4 uses.
324. rhythm - 4 uses.
325. melody - 4 uses.
326. watch - 4 uses.
327. fade - 4 uses.
328. usually - 4 uses.
329. fuzz - 4 uses.
330. dive - 4 uses.
331. knees - 4 uses.
332. used - 4 uses.
333. hollow - 4 uses.
334. reply - 4 uses.
335. wind - 4 uses.
336. dies - 4 uses.
337. glow - 4 uses.
338. erase - 3 uses.
339. any - 3 uses.
340. smoke - 3 uses.
341. wall - 3 uses.
342. spoke - 3 uses.
343. three - 3 uses.
344. front - 3 uses.
345. hours - 3 uses.
346. behind - 3 uses.
347. burning - 3 uses.
348. lay - 3 uses.
349. seen - 3 uses.
350. isnt - 3 uses.
351. curiosity - 3 uses.
352. wide-eyed - 3 uses.
353. perspectives - 3 uses.
354. backwards - 3 uses.
355. easy - 3 uses.
356. open - 3 uses.
357. point - 3 uses.
358. heads - 3 uses.
359. brought - 3 uses.
360. falls - 3 uses.
361. shout - 3 uses.
362. throw - 3 uses.
363. afternoon - 3 uses.
364. enjoy - 3 uses.
365. storms - 3 uses.
366. spinning - 3 uses.
367. sing - 3 uses.
368. hand - 3 uses.
369. watching - 3 uses.
370. quiet - 3 uses.
371. speak - 3 uses.
372. glass - 3 uses.
373. under - 3 uses.
374. pieces - 3 uses.
375. drove - 3 uses.
376. broken - 3 uses.
377. apart - 3 uses.
378. seems - 3 uses.
379. exhausted - 3 uses.
380. cry - 3 uses.
381. drifting - 3 uses.
382. caught - 3 uses.
383. drop - 3 uses.
384. eating - 3 uses.
385. silver - 3 uses.
386. kept - 3 uses.
387. filled - 3 uses.
388. pretty - 3 uses.
389. religion - 3 uses.
390. ahead - 3 uses.
391. california - 3 uses.
392. talked - 3 uses.
393. julia - 3 uses.
394. watched - 3 uses.
395. attention - 3 uses.
396. sweet - 3 uses.
397. wondering - 3 uses.
398. dreaming - 3 uses.
399. anyway - 3 uses.
400. belonged - 3 uses.
401. trading - 3 uses.
402. climb - 3 uses.
403. hanging - 3 uses.
404. craving - 3 uses.
405. wasting - 3 uses.
406. chasing - 3 uses.
407. high - 3 uses.
408. brain - 3 uses.
409. blanket - 3 uses.
410. dazzling - 3 uses.
411. notice - 3 uses.
412. starting - 3 uses.
413. country - 3 uses.
414. white - 3 uses.
415. waking - 3 uses.
416. dead - 3 uses.
417. fast - 3 uses.
418. driving - 3 uses.
419. truth - 3 uses.
420. comes - 3 uses.
421. elsewhere - 3 uses.
422. asking - 3 uses.
423. going - 3 uses.
424. happy - 3 uses.
425. nice - 3 uses.
426. pulls - 3 uses.
427. wishing - 3 uses.
428. sounds - 3 uses.
429. balancing - 3 uses.
430. perfectly - 3 uses.
431. kind - 3 uses.
432. almost - 3 uses.
433. trust - 3 uses.
434. pure - 3 uses.
435. devotion - 3 uses.
436. number - 3 uses.
437. gate - 3 uses.
438. lurking - 3 uses.
439. springtime - 3 uses.
440. such - 3 uses.
441. once - 3 uses.
442. step - 3 uses.
443. irreversibly - 3 uses.
444. selfish - 3 uses.
445. disappointment - 3 uses.
446. hunger - 3 uses.
447. lens - 3 uses.
448. tracing - 3 uses.
449. curtain - 3 uses.
450. pavement - 3 uses.
451. autumn - 3 uses.
452. cool - 3 uses.
453. buried - 3 uses.
454. loved - 3 uses.
455. tv - 3 uses.
456. building - 3 uses.
457. ignore - 3 uses.
458. self - 3 uses.
459. temporary - 3 uses.
460. hung - 3 uses.
461. wear - 3 uses.
462. smile - 3 uses.
463. genuine - 3 uses.
464. clear - 3 uses.
465. forgetting - 3 uses.
466. nightlight - 3 uses.
467. shit - 3 uses.
468. work - 2 uses.
469. people - 2 uses.
470. talk - 2 uses.
471. lover - 2 uses.
472. laughing - 2 uses.
473. bedroom - 2 uses.
474. roommate - 2 uses.
475. hall - 2 uses.
476. undressed - 2 uses.
477. pinning - 2 uses.
478. talking - 2 uses.
479. circles - 2 uses.
480. stood - 2 uses.
481. finished - 2 uses.
482. pedestal - 2 uses.
483. deconstruct - 2 uses.
484. remake - 2 uses.
485. strayed - 2 uses.
486. further - 2 uses.
487. road - 2 uses.
488. few - 2 uses.
489. lead - 2 uses.
490. homes - 2 uses.
491. recede - 2 uses.
492. decisions - 2 uses.
493. haunting - 2 uses.
494. beside - 2 uses.
495. fever - 2 uses.
496. slipping - 2 uses.
497. controls - 2 uses.
498. intrapersonal - 2 uses.
499. bloom - 2 uses.
500. pull - 2 uses.
501. wave - 2 uses.
502. lies - 2 uses.
503. twist - 2 uses.
504. turning - 2 uses.
505. sense - 2 uses.
506. remorse - 2 uses.
507. drug - 2 uses.
508. bottom - 2 uses.
509. blood - 2 uses.
510. gave - 2 uses.
511. lips - 2 uses.
512. able - 2 uses.
513. year - 2 uses.
514. wore - 2 uses.
515. dress - 2 uses.
516. outfit - 2 uses.
517. losing - 2 uses.
518. rather - 2 uses.
519. routine - 2 uses.
520. bah - 2 uses.
521. follow - 2 uses.
522. spin - 2 uses.
523. dizzy - 2 uses.
524. whisper - 2 uses.
525. ringing - 2 uses.
526. goodbye - 2 uses.
527. fine - 2 uses.
528. softly - 2 uses.
529. hair - 2 uses.
530. barely - 2 uses.
531. aching - 2 uses.
532. figured - 2 uses.
533. shattered - 2 uses.
534. quite - 2 uses.
535. leave - 2 uses.
536. cared - 2 uses.
537. hidden - 2 uses.
538. return - 2 uses.
539. learned - 2 uses.
540. desperately - 2 uses.
541. rupture - 2 uses.
542. cage - 2 uses.
543. hears - 2 uses.
544. pleading - 2 uses.
545. sea - 2 uses.
546. silent - 2 uses.
547. struggle - 2 uses.
548. drowned - 2 uses.
549. apathy - 2 uses.
550. direction - 2 uses.
551. surrounding - 2 uses.
552. cracks - 2 uses.
553. pulling - 2 uses.
554. shame - 2 uses.
555. playing - 2 uses.
556. spoon - 2 uses.
557. everyones - 2 uses.
558. weight - 2 uses.
559. burned - 2 uses.
560. rains - 2 uses.
561. reason - 2 uses.
562. constant - 2 uses.
563. yellow - 2 uses.
564. cloud - 2 uses.
565. september - 2 uses.
566. hardest - 2 uses.
567. black - 2 uses.
568. blurry - 2 uses.
569. ending - 2 uses.
570. imagining - 2 uses.
571. humblest - 2 uses.
572. pleasures - 2 uses.
573. define - 2 uses.
574. today - 2 uses.
575. shadow - 2 uses.
576. next - 2 uses.
577. using - 2 uses.
578. staring - 2 uses.
579. safe - 2 uses.
580. missing - 2 uses.
581. started - 2 uses.
582. walking - 2 uses.
583. pretend - 2 uses.
584. till - 2 uses.
585. lawn - 2 uses.
586. lusting - 2 uses.
587. moon - 2 uses.
588. sitting - 2 uses.
589. breathe - 2 uses.
590. moves - 2 uses.
591. haunt - 2 uses.
592. december - 2 uses.
593. held - 2 uses.
594. doubt - 2 uses.
595. friend - 2 uses.
596. fought - 2 uses.
597. strong - 2 uses.
598. city - 2 uses.
599. takes - 2 uses.
600. adjust - 2 uses.
601. chase - 2 uses.
602. getting - 2 uses.
603. mistakes - 2 uses.
604. distractions - 2 uses.
605. mes - 2 uses.
606. velvet - 2 uses.
607. remembering - 2 uses.
608. world - 2 uses.
609. belong - 2 uses.
610. stand - 2 uses.
611. park - 2 uses.
612. fly - 2 uses.
613. dove - 2 uses.
614. worried - 2 uses.
615. lucky - 2 uses.
616. instead - 2 uses.
617. sequoia - 2 uses.
618. pine - 2 uses.
619. plant - 2 uses.
620. sugar - 2 uses.
621. looked - 2 uses.
622. drawn - 2 uses.
623. wet - 2 uses.
624. kissed - 2 uses.
625. baby - 2 uses.
626. bodys - 2 uses.
627. beauty - 2 uses.
628. expect - 2 uses.
629. whatever - 2 uses.
630. control - 2 uses.
631. second - 2 uses.
632. finding - 2 uses.
633. escape - 2 uses.
634. skyline - 2 uses.
635. glows - 2 uses.
636. must - 2 uses.
637. glowing - 2 uses.
638. relieving - 2 uses.
639. revealing - 2 uses.
640. suddenly - 2 uses.
641. attached - 2 uses.
642. stayed - 2 uses.
643. lungs - 2 uses.
644. opened - 2 uses.
645. songs - 2 uses.
646. empty - 2 uses.
647. intentions - 2 uses.
648. begun - 2 uses.
