Most used words by Bleachers: 
Number of songs scanned: 39

351. married - 3 uses.
352. cost - 3 uses.
353. starlight - 3 uses.
354. window - 3 uses.
355. piece - 3 uses.
356. higher - 3 uses.
357. bolder - 3 uses.
358. rascal - 3 uses.
359. desires - 3 uses.
360. grab - 3 uses.
361. restless - 3 uses.
362. control - 3 uses.
363. old - 3 uses.
364. antonoff - 3 uses.
365. carly - 3 uses.
366. caught - 3 uses.
367. waste - 3 uses.
368. sing - 3 uses.
369. except - 3 uses.
370. high - 3 uses.
371. clean - 3 uses.
372. silence - 3 uses.
373. tired - 3 uses.
374. sun - 3 uses.
375. shake - 3 uses.
376. storm - 3 uses.
377. cut - 3 uses.
378. faces - 3 uses.
379. minds - 3 uses.
380. sick - 3 uses.
381. holy - 3 uses.
382. most - 3 uses.
383. took - 3 uses.
384. words - 3 uses.
385. lines - 3 uses.
386. inside - 3 uses.
387. wouldnt - 3 uses.
388. anything - 3 uses.
389. push - 3 uses.
390. onto - 3 uses.
391. endless - 3 uses.
392. fade - 3 uses.
393. mind - 3 uses.
394. asleep - 3 uses.
395. replace - 3 uses.
396. steps - 3 uses.
397. callin - 3 uses.
398. whoa-whoa - 3 uses.
399. hey-no - 3 uses.
400. fast - 3 uses.
401. machine - 3 uses.
402. supreme - 3 uses.
403. 45s - 3 uses.
404. spinning - 3 uses.
405. hear - 3 uses.
406. sang - 3 uses.
407. helmet - 3 uses.
408. carried - 3 uses.
409. oh-o - 3 uses.
410. minute - 2 uses.
411. smiling - 2 uses.
412. echoes - 2 uses.
413. glove - 2 uses.
414. brave - 2 uses.
415. boarded - 2 uses.
416. doors - 2 uses.
417. letters - 2 uses.
418. grave - 2 uses.
419. matter - 2 uses.
420. foot - 2 uses.
421. ones - 2 uses.
422. learn - 2 uses.
423. cops - 2 uses.
424. 42 - 2 uses.
425. safer - 2 uses.
426. blue - 2 uses.
427. lend - 2 uses.
428. touched - 2 uses.
429. covered - 2 uses.
430. ooh - 2 uses.
431. whats - 2 uses.
432. tears - 2 uses.
433. cheek - 2 uses.
434. chinatown - 2 uses.
435. sittin - 2 uses.
436. saturday - 2 uses.
