Most used words by Dodie: 
Number of songs scanned: 104

269. losing - 8 uses.
270. boys - 8 uses.
271. goodbye - 8 uses.
272. game - 8 uses.
273. same - 8 uses.
274. worry - 8 uses.
275. early - 8 uses.
276. stuck - 8 uses.
277. fun - 8 uses.
278. single - 8 uses.
279. years - 8 uses.
280. listen - 8 uses.
281. hurt - 8 uses.
282. yet - 8 uses.
283. fate - 8 uses.
284. mean - 8 uses.
285. everything - 8 uses.
286. next - 8 uses.
287. lucky - 8 uses.
288. stop - 8 uses.
289. instead - 8 uses.
290. struck - 8 uses.
291. four - 7 uses.
292. three - 7 uses.
293. shout - 7 uses.
294. shut - 7 uses.
295. standing - 7 uses.
296. ten - 7 uses.
297. last - 7 uses.
298. weve - 7 uses.
299. worth - 7 uses.
300. turn - 7 uses.
301. share - 7 uses.
302. broken - 7 uses.
303. hell - 7 uses.
304. win - 7 uses.
305. storm - 7 uses.
306. thunder - 7 uses.
307. safe - 7 uses.
308. comes - 7 uses.
309. own - 7 uses.
310. build - 7 uses.
311. dance - 7 uses.
312. laugh - 7 uses.
313. already - 7 uses.
314. theyll - 7 uses.
315. going - 7 uses.
316. forget - 7 uses.
317. eat - 7 uses.
318. cry - 7 uses.
319. stand - 7 uses.
320. taught - 7 uses.
321. wouldnt - 7 uses.
322. great - 7 uses.
323. watched - 7 uses.
324. die - 7 uses.
325. any - 7 uses.
326. felt - 7 uses.
327. number - 7 uses.
328. warm - 7 uses.
329. secretly - 7 uses.
330. anyone - 7 uses.
331. bored - 7 uses.
332. city - 7 uses.
333. stars - 7 uses.
334. sense - 7 uses.
335. month - 6 uses.
336. youtube - 6 uses.
337. busy - 6 uses.
338. days - 6 uses.
339. nice - 6 uses.
340. other - 6 uses.
341. line - 6 uses.
342. forward - 6 uses.
343. ground - 6 uses.
344. pick - 6 uses.
345. kiss - 6 uses.
346. trust - 6 uses.
347. soulmates - 6 uses.
348. fucked - 6 uses.
349. fight - 6 uses.
350. lights - 6 uses.
351. smiles - 6 uses.
352. dancing - 6 uses.
353. strong - 6 uses.
354. flats - 6 uses.
355. top - 6 uses.
356. fast - 6 uses.
357. screaming - 6 uses.
358. pain - 6 uses.
359. family - 6 uses.
360. spend - 6 uses.
361. thoughts - 6 uses.
362. changed - 6 uses.
363. list - 6 uses.
364. usually - 6 uses.
365. such - 6 uses.
366. road - 6 uses.
367. boyfriend - 6 uses.
368. beautiful - 6 uses.
369. hiding - 6 uses.
370. tears - 6 uses.
371. heavy - 6 uses.
372. bright - 6 uses.
373. doing - 6 uses.
374. supposed - 6 uses.
375. walk - 6 uses.
376. carry - 6 uses.
377. sun - 6 uses.
378. smiling - 6 uses.
379. waited - 6 uses.
380. million - 6 uses.
381. moment - 6 uses.
382. light - 6 uses.
383. belong - 6 uses.
384. inbetween - 6 uses.
385. chocolates - 6 uses.
386. steam - 6 uses.
387. train - 5 uses.
388. crack - 5 uses.
389. front - 5 uses.
390. change - 5 uses.
391. slow - 5 uses.
392. less - 5 uses.
393. twenty - 5 uses.
394. count - 5 uses.
395. secrets - 5 uses.
396. strange - 5 uses.
397. promised - 5 uses.
398. answer - 5 uses.
399. tight - 5 uses.
400. belonging - 5 uses.
401. shell - 5 uses.
402. minds - 5 uses.
403. problem - 5 uses.
404. closed - 5 uses.
405. lose - 5 uses.
406. those - 5 uses.
407. making - 5 uses.
408. toys - 5 uses.
409. blue - 5 uses.
410. loving - 5 uses.
411. born - 5 uses.
412. small - 5 uses.
413. young - 5 uses.
414. sit - 5 uses.
415. phone - 5 uses.
416. tea - 5 uses.
417. town - 5 uses.
418. yours - 5 uses.
419. fucking - 5 uses.
420. date - 5 uses.
421. reason - 5 uses.
422. looked - 5 uses.
423. dead - 5 uses.
424. heads - 5 uses.
425. walls - 5 uses.
426. held - 5 uses.
427. rather - 5 uses.
428. taxi - 5 uses.
429. seem - 5 uses.
430. afternoon - 5 uses.
431. under - 5 uses.
432. welcome - 5 uses.
433. morning - 5 uses.
434. bruised - 5 uses.
435. tattoos - 5 uses.
436. sin - 5 uses.
437. miles - 5 uses.
438. bite - 5 uses.
439. sigh - 5 uses.
440. forever - 5 uses.
441. hug - 5 uses.
442. hot - 5 uses.
443. green - 5 uses.
444. fair - 5 uses.
445. swear - 5 uses.
446. breath - 5 uses.
447. lightning - 5 uses.
448. ice - 5 uses.
449. round - 5 uses.
450. raw - 5 uses.
451. lines - 5 uses.
452. rise - 5 uses.
453. shannon - 5 uses.
454. happened - 5 uses.
455. winter - 5 uses.
456. empty - 4 uses.
457. came - 4 uses.
458. sandwich - 4 uses.
459. move - 4 uses.
460. alive - 4 uses.
461. after - 4 uses.
462. grab - 4 uses.
463. havent - 4 uses.
464. fault - 4 uses.
465. baby - 4 uses.
466. nicely - 4 uses.
467. intact - 4 uses.
468. hadnt - 4 uses.
469. dumb - 4 uses.
470. begin - 4 uses.
471. hearts - 4 uses.
472. alright - 4 uses.
473. glasses - 4 uses.
474. plans - 4 uses.
475. above - 4 uses.
476. read - 4 uses.
477. deal - 4 uses.
478. numb - 4 uses.
479. music - 4 uses.
480. shoes - 4 uses.
481. lonely - 4 uses.
482. high - 4 uses.
483. fingers - 4 uses.
484. loud - 4 uses.
485. ears - 4 uses.
486. higher - 4 uses.
487. ink - 4 uses.
488. begging - 4 uses.
489. living - 4 uses.
490. hole - 4 uses.
491. tooth - 4 uses.
492. luck - 4 uses.
493. looks - 4 uses.
494. precious - 4 uses.
495. paid - 4 uses.
496. broke - 4 uses.
497. boy - 4 uses.
498. pens - 4 uses.
499. definitely - 4 uses.
500. save - 4 uses.
501. grew - 4 uses.
502. running - 4 uses.
503. fear - 4 uses.
504. took - 4 uses.
505. devil - 4 uses.
506. outside - 4 uses.
507. partyyyyy - 4 uses.
508. heres - 4 uses.
509. taken - 4 uses.
510. able - 4 uses.
511. alice - 4 uses.
512. certainly - 4 uses.
513. jumpers - 4 uses.
514. art - 4 uses.
515. saying - 4 uses.
516. speech - 4 uses.
517. sharpened - 4 uses.
518. monsters - 4 uses.
519. looking - 4 uses.
520. blind - 4 uses.
521. women - 4 uses.
522. woke - 4 uses.
523. cut - 4 uses.
524. shall - 4 uses.
525. overly - 4 uses.
526. passionate - 4 uses.
527. shared - 4 uses.
528. thanks - 4 uses.
529. nod - 4 uses.
530. book - 4 uses.
531. shit - 4 uses.
532. arrow - 4 uses.
533. eye - 4 uses.
534. holding - 4 uses.
535. tastes - 4 uses.
536. step - 4 uses.
537. run - 4 uses.
538. bath - 4 uses.
539. bunch - 4 uses.
540. across - 4 uses.
541. figured - 4 uses.
542. gives - 4 uses.
543. smitten - 4 uses.
544. missing - 4 uses.
545. anyway - 4 uses.
546. bet - 4 uses.
547. moon - 4 uses.
548. times - 4 uses.
549. space - 4 uses.
550. side - 4 uses.
551. swore - 4 uses.
552. lovers - 4 uses.
553. rollin - 4 uses.
554. backs - 4 uses.
555. surely - 4 uses.
556. blood - 4 uses.
557. idea - 4 uses.
558. telling - 4 uses.
559. between - 4 uses.
560. smell - 4 uses.
561. aroo-doo-do-to - 4 uses.
562. gravity - 4 uses.
563. intergalactic - 4 uses.
564. static - 4 uses.
565. thousands - 4 uses.
566. fake - 4 uses.
567. cannot - 4 uses.
568. sky - 4 uses.
569. big - 4 uses.
570. figure - 4 uses.
571. reckon - 4 uses.
572. lumps - 4 uses.
573. bumps - 4 uses.
574. scratch - 4 uses.
575. santa - 4 uses.
576. jumper - 4 uses.
577. permanent - 4 uses.
578. rainbow - 4 uses.
579. liquid - 4 uses.
580. bedroooooom - 4 uses.
581. page - 3 uses.
582. 5 - 3 uses.
583. forgot - 3 uses.
584. dreams - 3 uses.
585. flat - 3 uses.
586. clean - 3 uses.
587. arent - 3 uses.
588. dodie - 3 uses.
589. catch - 3 uses.
590. melting - 3 uses.
591. uke - 3 uses.
592. machine - 3 uses.
593. special - 3 uses.
594. funny - 3 uses.
595. soul - 3 uses.
