Most used words by EDEN: 
Number of songs scanned: 82

270. caught - 7 uses.
271. missing - 7 uses.
272. air - 7 uses.
273. wake - 7 uses.
274. someday - 7 uses.
275. rushing - 7 uses.
276. lights - 7 uses.
277. inside - 7 uses.
278. voice - 7 uses.
279. wishing - 7 uses.
280. escape - 7 uses.
281. once - 7 uses.
282. bit - 7 uses.
283. late - 7 uses.
284. hoping - 7 uses.
285. lied - 6 uses.
286. ask - 6 uses.
287. crashing - 6 uses.
288. float - 6 uses.
289. side - 6 uses.
290. name - 6 uses.
291. hearts - 6 uses.
292. soon - 6 uses.
293. play - 6 uses.
294. sure - 6 uses.
295. songs - 6 uses.
296. known - 6 uses.
297. wasnt - 6 uses.
298. summer - 6 uses.
299. honestly - 6 uses.
300. supposed - 6 uses.
301. help - 6 uses.
302. sorry - 6 uses.
303. wonder - 6 uses.
304. hurt - 6 uses.
305. control - 6 uses.
306. ourselves - 6 uses.
307. gave - 6 uses.
308. fly - 6 uses.
309. watching - 6 uses.
310. fears - 6 uses.
311. seem - 6 uses.
312. disappear - 6 uses.
313. next - 6 uses.
314. drive - 6 uses.
315. fumes - 6 uses.
316. repeat - 6 uses.
317. growing - 6 uses.
318. face - 6 uses.
319. tonight - 6 uses.
320. understand - 6 uses.
321. page - 6 uses.
322. hole - 6 uses.
323. streams - 6 uses.
324. straight - 5 uses.
325. drown - 5 uses.
326. show - 5 uses.
327. swore - 5 uses.
328. lived - 5 uses.
329. after - 5 uses.
330. loud - 5 uses.
331. sunlight - 5 uses.
332. sometimes - 5 uses.
333. drifting - 5 uses.
334. course - 5 uses.
335. round - 5 uses.
336. young - 5 uses.
337. lover - 5 uses.
338. mine - 5 uses.
339. took - 5 uses.
340. empathy - 5 uses.
341. dead - 5 uses.
342. along - 5 uses.
343. set - 5 uses.
344. further - 5 uses.
345. lot - 5 uses.
346. hands - 5 uses.
347. aware - 5 uses.
348. sound - 5 uses.
349. must - 5 uses.
350. sad - 5 uses.
351. realize - 5 uses.
352. pieces - 5 uses.
353. breathing - 5 uses.
354. lives - 5 uses.
355. hide - 5 uses.
356. waking - 5 uses.
357. ghost - 5 uses.
358. died - 5 uses.
359. talking - 5 uses.
360. keeps - 5 uses.
361. knees - 5 uses.
362. become - 5 uses.
363. watched - 5 uses.
364. bones - 5 uses.
365. figure - 5 uses.
366. chest - 5 uses.
367. point - 5 uses.
368. rolling - 5 uses.
369. moved - 5 uses.
370. easier - 5 uses.
371. cry - 5 uses.
372. ends - 5 uses.
373. lifetime - 5 uses.
374. peace - 5 uses.
375. theyll - 5 uses.
376. watch - 5 uses.
377. bleeding - 5 uses.
378. function - 5 uses.
379. heat - 5 uses.
380. heavy - 5 uses.
381. miles - 5 uses.
382. week - 5 uses.
383. loves - 5 uses.
384. making - 5 uses.
385. mess - 5 uses.
386. makes - 5 uses.
387. why-o - 5 uses.
388. needed - 5 uses.
389. ten - 5 uses.
390. heaven - 5 uses.
391. wall - 5 uses.
392. little - 5 uses.
393. les - 5 uses.
394. blurred - 4 uses.
395. means - 4 uses.
396. gravity - 4 uses.
397. fighting - 4 uses.
398. ran - 4 uses.
399. nice - 4 uses.
400. without - 4 uses.
401. whole - 4 uses.
402. yet - 4 uses.
403. truth - 4 uses.
404. sets - 4 uses.
405. turned - 4 uses.
406. floor - 4 uses.
407. careful - 4 uses.
408. breaking - 4 uses.
409. kid - 4 uses.
410. son - 4 uses.
411. sinking - 4 uses.
412. heartless - 4 uses.
413. having - 4 uses.
414. crash - 4 uses.
415. important - 4 uses.
416. shows - 4 uses.
417. bigger - 4 uses.
418. bedroom - 4 uses.
419. forgot - 4 uses.
420. phone - 4 uses.
421. should - 4 uses.
422. ago - 4 uses.
423. ways - 4 uses.
424. between - 4 uses.
