Most used words by Lincoln: 
Number of songs scanned: 6

273. contemplating - 1 use.
274. smallish - 1 use.
275. size - 1 use.
276. idols - 1 use.
277. college - 1 use.
278. someday - 1 use.
279. learn - 1 use.
280. advice - 1 use.
281. shit - 1 use.
282. doesnt - 1 use.
283. matter - 1 use.
284. overkill - 1 use.
285. very - 1 use.
286. few - 1 use.
287. exceptional - 1 use.
288. skills - 1 use.
289. doubt - 1 use.
290. candle - 1 use.
291. instance - 1 use.
292. three - 1 use.
293. months - 1 use.
294. without - 1 use.
295. being - 1 use.
296. existence - 1 use.
297. thoughts - 1 use.
298. words - 1 use.
299. demean - 1 use.
300. running - 1 use.
301. hate - 1 use.
302. getting - 1 use.
303. sweat - 1 use.
304. stains - 1 use.
305. knife - 1 use.
306. please - 1 use.
307. swore - 1 use.
308. back - 1 use.
309. swearing - 1 use.
310. felt - 1 use.
311. let - 1 use.
312. sit - 1 use.
313. song - 1 use.
314. join - 1 use.
315. ranks - 1 use.
316. holy - 1 use.
317. ohio - 1 use.
318. satanic - 1 use.
319. chained - 1 use.
320. until - 1 use.
321. end - 1 use.
322. swear - 1 use.
323. true - 1 use.
324. calvin - 1 use.
325. worry - 1 use.
326. deal - 1 use.
327. really - 1 use.
328. common - 1 use.
329. neither - 1 use.
330. missed - 1 use.
331. sits - 1 use.
332. last - 1 use.
333. leg - 1 use.
334. cope - 1 use.
335. hopeful - 1 use.
336. meant - 1 use.
337. question - 1 use.
338. led - 1 use.
339. evil - 1 use.
340. broken - 1 use.
341. person - 1 use.
342. right - 1 use.
343. taught - 1 use.
344. spent - 1 use.
345. moment - 1 use.
346. show - 1 use.
347. stars - 1 use.
348. wonder - 1 use.
349. nights - 1 use.
350. try - 1 use.
351. relative - 1 use.
352. constellations - 1 use.
353. relatives - 1 use.
354. vacation - 1 use.
355. heard - 1 use.
356. stayed - 1 use.
357. town - 1 use.
