Most used words by Spose: 
Number of songs scanned: 176

272. ooh - 30 uses.
273. line - 30 uses.
274. lose - 30 uses.
275. start - 29 uses.
276. bars - 29 uses.
277. quick - 29 uses.
278. tried - 29 uses.
279. dark - 29 uses.
280. drugs - 29 uses.
281. nah - 29 uses.
282. couple - 29 uses.
283. sorry - 29 uses.
284. rappers - 29 uses.
285. end - 29 uses.
286. rich - 29 uses.
287. later - 28 uses.
288. words - 28 uses.
289. album - 28 uses.
290. drop - 28 uses.
291. ones - 28 uses.
292. nothing - 28 uses.
293. ask - 28 uses.
294. wrote - 28 uses.
295. isnt - 28 uses.
296. once - 28 uses.
297. radio - 28 uses.
298. being - 28 uses.
299. past - 28 uses.
300. most - 28 uses.
301. groves - 28 uses.
302. rather - 28 uses.
303. town - 27 uses.
304. shut - 27 uses.
305. true - 27 uses.
306. fall - 27 uses.
307. track - 27 uses.
308. under - 27 uses.
309. dad - 27 uses.
310. 2 - 27 uses.
311. head - 27 uses.
312. rhyme - 27 uses.
313. greatest - 27 uses.
314. sold - 27 uses.
315. please - 27 uses.
316. gon - 27 uses.
317. ten - 26 uses.
318. beer - 26 uses.
319. floor - 26 uses.
320. pass - 26 uses.
321. behind - 26 uses.
322. eat - 26 uses.
323. fuckin - 26 uses.
324. moms - 26 uses.
325. pop - 26 uses.
326. eyes - 26 uses.
327. music - 26 uses.
328. beats - 26 uses.
329. boy - 26 uses.
330. red - 26 uses.
331. played - 26 uses.
332. running - 26 uses.
333. youd - 26 uses.
334. happy - 26 uses.
335. thanks - 26 uses.
336. okay - 26 uses.
337. popular - 26 uses.
338. pull - 25 uses.
339. 1 - 25 uses.
340. truth - 25 uses.
341. dance - 25 uses.
342. late - 25 uses.
343. times - 25 uses.
344. room - 25 uses.
345. break - 25 uses.
346. woops - 25 uses.
347. son - 24 uses.
348. cops - 24 uses.
349. spot - 24 uses.
350. million - 24 uses.
351. ride - 24 uses.
352. remember - 24 uses.
353. motherfucker - 24 uses.
354. drunk - 24 uses.
355. living - 24 uses.
356. bought - 24 uses.
357. fat - 24 uses.
358. fly - 24 uses.
359. eight - 24 uses.
360. fine - 24 uses.
361. alive - 24 uses.
362. hair - 24 uses.
363. dollar - 24 uses.
364. gas - 24 uses.
365. shinin - 24 uses.
366. fast - 24 uses.
367. heres - 23 uses.
368. broken - 23 uses.
369. feelin - 23 uses.
370. roll - 23 uses.
371. step - 23 uses.
372. crazy - 23 uses.
373. met - 23 uses.
374. verse - 23 uses.
375. sing - 23 uses.
376. gets - 23 uses.
377. lifted - 23 uses.
378. brain - 23 uses.
379. catch - 23 uses.
380. saying - 23 uses.
381. fight - 23 uses.
382. low - 23 uses.
383. supposed - 23 uses.
384. blue - 22 uses.
385. flow - 22 uses.
386. doubt - 22 uses.
387. dick - 22 uses.
388. shirt - 22 uses.
389. called - 22 uses.
390. city - 22 uses.
391. rapping - 22 uses.
392. everything - 22 uses.
393. green - 22 uses.
394. mouth - 22 uses.
395. nine - 22 uses.
396. mike - 22 uses.
397. ice - 22 uses.
398. act - 22 uses.
399. hawk - 22 uses.
400. yet - 21 uses.
401. dollars - 21 uses.
402. stand - 21 uses.
403. round - 21 uses.
404. gave - 21 uses.
405. cut - 21 uses.
406. couch - 21 uses.
407. both - 21 uses.
408. win - 21 uses.
409. food - 21 uses.
410. murray - 21 uses.
411. nice - 21 uses.
412. jackson - 21 uses.
413. raps - 21 uses.
414. walking - 21 uses.
415. lights - 21 uses.
416. afford - 21 uses.
417. set - 21 uses.
418. fucked - 21 uses.
419. fire - 21 uses.
420. born - 21 uses.
421. road - 21 uses.
422. yelling - 21 uses.
423. beep - 21 uses.
424. wait - 20 uses.
425. already - 20 uses.
426. bills - 20 uses.
427. list - 20 uses.
428. six - 20 uses.
429. sleep - 20 uses.
430. second - 20 uses.
431. huh - 20 uses.
432. died - 20 uses.
433. obama - 20 uses.
434. shits - 20 uses.
435. hat - 20 uses.
436. close - 20 uses.
437. earth - 20 uses.
438. ryan - 20 uses.
439. hide - 20 uses.
440. nothin - 20 uses.
441. yourself - 20 uses.
442. deal - 20 uses.
443. move - 20 uses.
444. bag - 20 uses.
445. goat - 20 uses.
446. ha - 20 uses.
447. sex - 20 uses.
448. {humans} - 20 uses.
449. cheese - 19 uses.
450. sometimes - 19 uses.
451. risk - 19 uses.
452. peace - 19 uses.
453. kick - 19 uses.
454. plan - 19 uses.
455. read - 19 uses.
456. lines - 19 uses.
457. any - 19 uses.
458. finally - 19 uses.
459. bet - 19 uses.
460. pants - 19 uses.
461. save - 19 uses.
462. dead - 19 uses.
463. ya - 19 uses.
464. chris - 19 uses.
465. reach - 19 uses.
466. fake - 19 uses.
467. boss - 19 uses.
468. peter - 19 uses.
469. addicted - 19 uses.
470. pdank - 19 uses.
471. bigger - 19 uses.
472. snow - 18 uses.
473. sweat - 18 uses.
474. blow - 18 uses.
475. sell - 18 uses.
476. grab - 18 uses.
477. control - 18 uses.
478. sitting - 18 uses.
479. hang - 18 uses.
480. blunt - 18 uses.
481. trash - 18 uses.
482. wood - 18 uses.
483. sick - 18 uses.
484. news - 18 uses.
485. morning - 18 uses.
486. matter - 18 uses.
487. wonder - 18 uses.
488. somebody - 18 uses.
489. parents - 18 uses.
490. sure - 18 uses.
491. comes - 18 uses.
492. tracks - 18 uses.
493. havent - 18 uses.
494. learn - 18 uses.
495. far - 18 uses.
496. bub - 18 uses.
497. doin - 17 uses.
498. paper - 17 uses.
499. fans - 17 uses.
500. crew - 17 uses.
501. college - 17 uses.
502. scared - 17 uses.
503. fact - 17 uses.
504. fit - 17 uses.
505. goin - 17 uses.
506. beach - 17 uses.
507. mother - 17 uses.
508. rolled - 17 uses.
509. showed - 17 uses.
510. homie - 17 uses.
511. today - 17 uses.
512. killed - 17 uses.
513. booth - 17 uses.
514. tight - 17 uses.
515. bimpin - 17 uses.
516. cop - 17 uses.
517. walk - 17 uses.
518. voice - 17 uses.
519. ball - 17 uses.
520. comin - 17 uses.
521. gettin - 17 uses.
522. gee - 17 uses.
523. checks - 17 uses.
524. half - 17 uses.
525. christmas - 17 uses.
526. devil - 17 uses.
527. else - 17 uses.
528. luck - 17 uses.
529. lady - 17 uses.
530. blunts - 17 uses.
531. either - 17 uses.
532. um - 17 uses.
533. studio - 17 uses.
534. wife - 17 uses.
535. brought - 17 uses.
536. found - 16 uses.
537. shake - 16 uses.
538. shot - 16 uses.
539. wake - 16 uses.
540. crack - 16 uses.
541. death - 16 uses.
542. everyone - 16 uses.
543. stage - 16 uses.
544. forever - 16 uses.
545. clothes - 16 uses.
546. watching - 16 uses.
547. watched - 16 uses.
548. month - 16 uses.
549. welcome - 16 uses.
550. tour - 16 uses.
551. cuz - 16 uses.
552. burn - 16 uses.
553. kitchen - 16 uses.
554. children - 16 uses.
555. water - 16 uses.
556. fear - 16 uses.
557. coffee - 16 uses.
558. talking - 16 uses.
559. hour - 16 uses.
560. lookin - 16 uses.
561. ayy - 16 uses.
562. having - 16 uses.
563. slow - 16 uses.
564. learned - 16 uses.
565. off-road - 16 uses.
566. heart - 15 uses.
567. flows - 15 uses.
568. middle - 15 uses.
569. street - 15 uses.
570. mine - 15 uses.
571. woke - 15 uses.
572. person - 15 uses.
573. driving - 15 uses.
574. alone - 15 uses.
575. 3 - 15 uses.
576. hungry - 15 uses.
577. names - 15 uses.
578. taking - 15 uses.
579. giving - 15 uses.
580. dropped - 15 uses.
581. account - 15 uses.
582. gold - 15 uses.
583. makes - 15 uses.
584. open - 15 uses.
585. fill - 15 uses.
586. felt - 15 uses.
587. cat - 15 uses.
588. backwoods - 15 uses.
589. hits - 15 uses.
590. glass - 15 uses.
591. bong - 15 uses.
592. doubted - 15 uses.
593. sparker - 15 uses.
594. saved - 15 uses.
595. underway - 15 uses.
596. tony - 15 uses.
597. andrew - 15 uses.
598. kinda - 14 uses.
599. heavy - 14 uses.
600. grown - 14 uses.
601. hole - 14 uses.
602. together - 14 uses.
603. sister - 14 uses.
604. jay - 14 uses.
605. video - 14 uses.
606. human - 14 uses.
607. someone - 14 uses.
608. number - 14 uses.
609. clean - 14 uses.
610. twice - 14 uses.
611. blood - 14 uses.
612. michael - 14 uses.
613. wack - 14 uses.
614. rhyming - 14 uses.
615. does - 14 uses.
616. seat - 14 uses.
617. map - 14 uses.
618. coke - 14 uses.
619. empty - 14 uses.
620. bunch - 14 uses.
621. war - 14 uses.
622. grow - 14 uses.
623. fell - 14 uses.
624. suicide - 14 uses.
625. sky - 14 uses.
626. everywhere - 14 uses.
627. shine - 14 uses.
628. self-help - 14 uses.
629. along - 14 uses.
630. prove - 14 uses.
631. kept - 14 uses.
632. vision - 14 uses.
633. plane - 14 uses.
634. surprised - 14 uses.
635. shows - 14 uses.
636. shoot - 14 uses.
637. puff - 14 uses.
638. bump - 14 uses.
639. ah - 14 uses.
640. alternative - 14 uses.
641. proponent - 14 uses.
642. knocking - 14 uses.
643. star - 13 uses.
644. fresh - 13 uses.
645. touch - 13 uses.
646. bar - 13 uses.
647. 2pac - 13 uses.
648. pockets - 13 uses.
649. clear - 13 uses.
650. less - 13 uses.
651. mountain - 13 uses.
652. bitches - 13 uses.
653. looked - 13 uses.
654. wanted - 13 uses.
655. pack - 13 uses.
656. riding - 13 uses.
657. bed - 13 uses.
658. sign - 13 uses.
659. fan - 13 uses.
660. kind - 13 uses.
661. speech - 13 uses.
662. douche - 13 uses.
663. spent - 13 uses.
664. woo - 13 uses.
665. yes - 13 uses.
666. cups - 13 uses.
667. promise - 13 uses.
668. lotta - 13 uses.
669. debt - 13 uses.
670. summer - 13 uses.
671. sleeping - 13 uses.
672. dirt - 13 uses.
673. piece - 13 uses.
674. chips - 13 uses.
675. liquor - 13 uses.
676. bomb - 13 uses.
677. billion - 13 uses.
678. hours - 13 uses.
679. dumb - 13 uses.
