Most used words by Deftones: 
Number of songs scanned: 132

270. must - 8 uses.
271. whole - 8 uses.
272. little - 8 uses.
273. catch - 8 uses.
274. took - 8 uses.
275. blue - 8 uses.
276. wicked - 8 uses.
277. pick - 8 uses.
278. stare - 8 uses.
279. beneath - 8 uses.
280. breathe - 8 uses.
281. hearts - 8 uses.
282. ghosts - 8 uses.
283. clothes - 8 uses.
284. sink - 8 uses.
285. stuck - 8 uses.
286. roll - 8 uses.
287. began - 8 uses.
288. unrise - 8 uses.
289. lungs - 8 uses.
290. spend - 8 uses.
291. together - 8 uses.
292. dreams - 8 uses.
293. fashion - 8 uses.
294. trying - 8 uses.
295. confused - 8 uses.
296. sore - 8 uses.
297. sit - 8 uses.
298. colors - 8 uses.
299. promise - 8 uses.
300. eyeballs - 8 uses.
301. staring - 8 uses.
302. wheres - 8 uses.
303. cold - 7 uses.
304. strange - 7 uses.
305. line - 7 uses.
306. veins - 7 uses.
307. truth - 7 uses.
308. top - 7 uses.
309. knew - 7 uses.
310. bed - 7 uses.
311. remember - 7 uses.
312. knows - 7 uses.
313. thought - 7 uses.
314. death - 7 uses.
315. bound - 7 uses.
316. feels - 7 uses.
317. running - 7 uses.
318. listen - 7 uses.
319. big - 7 uses.
320. last - 7 uses.
321. today - 7 uses.
322. turning - 7 uses.
323. caught - 7 uses.
324. blow - 7 uses.
325. kind - 7 uses.
326. begin - 7 uses.
327. hang - 7 uses.
328. talk - 7 uses.
329. throw - 7 uses.
330. rebirth - 7 uses.
331. someday - 7 uses.
332. arrive - 7 uses.
333. aside - 7 uses.
334. money - 7 uses.
335. check - 7 uses.
336. lung - 7 uses.
337. christ - 7 uses.
338. realm - 7 uses.
339. book - 7 uses.
340. slow - 7 uses.
341. drives - 7 uses.
342. shake - 7 uses.
343. collide - 7 uses.
344. maybe - 7 uses.
345. tastes - 7 uses.
346. probably - 7 uses.
347. gaze - 7 uses.
348. sexy - 7 uses.
349. ready - 6 uses.
350. done - 6 uses.
351. relate - 6 uses.
352. sure - 6 uses.
353. triangles - 6 uses.
354. diamonds - 6 uses.
355. cry - 6 uses.
356. living - 6 uses.
357. cannot - 6 uses.
358. jesus - 6 uses.
359. asleep - 6 uses.
360. chance - 6 uses.
361. sea - 6 uses.
362. ones - 6 uses.
363. help - 6 uses.
364. hands - 6 uses.
365. mother - 6 uses.
366. changed - 6 uses.
367. beside - 6 uses.
368. ya - 6 uses.
369. wonder - 6 uses.
370. shell - 6 uses.
371. alright - 6 uses.
372. baby - 6 uses.
373. least - 6 uses.
374. round - 6 uses.
375. song - 6 uses.
376. stick - 6 uses.
377. bring - 6 uses.
378. dead - 6 uses.
379. friends - 6 uses.
380. door - 6 uses.
381. til - 6 uses.
382. hit - 6 uses.
383. spit - 6 uses.
384. haze - 6 uses.
385. sync - 6 uses.
386. thread - 6 uses.
387. wilder - 6 uses.
388. fast - 6 uses.
389. swim - 6 uses.
390. deny - 6 uses.
391. making - 6 uses.
392. drain - 6 uses.
393. balance - 6 uses.
394. sense - 6 uses.
395. balanced - 6 uses.
396. gang - 6 uses.
397. lost - 6 uses.
398. honey - 6 uses.
399. cares - 6 uses.
400. huh - 6 uses.
401. travel - 6 uses.
402. calming - 6 uses.
403. page - 6 uses.
404. guns - 6 uses.
405. razors - 6 uses.
406. knives - 6 uses.
407. hard - 6 uses.
408. stage - 6 uses.
409. days - 6 uses.
410. wrath - 6 uses.
411. void - 6 uses.
412. sweetest - 6 uses.
413. lucky - 6 uses.
414. lies - 6 uses.
415. work - 5 uses.
416. useless - 5 uses.
417. miss - 5 uses.
418. poor - 5 uses.
419. quit - 5 uses.
420. carve - 5 uses.
421. found - 5 uses.
422. gift - 5 uses.
423. seen - 5 uses.
424. great - 5 uses.
425. rung - 5 uses.
426. scream - 5 uses.
427. faith - 5 uses.
428. lights - 5 uses.
429. cutting - 5 uses.
430. ties - 5 uses.
431. tongue - 5 uses.
432. wear - 5 uses.
433. changing - 5 uses.
434. floor - 5 uses.
435. blame - 5 uses.
436. liar - 5 uses.
437. grab - 5 uses.
438. lift - 5 uses.
439. taken - 5 uses.
440. stars - 5 uses.
441. secret - 5 uses.
442. instead - 5 uses.
443. stopped - 5 uses.
444. king - 5 uses.
445. wind - 5 uses.
446. simple - 5 uses.
447. cavity - 5 uses.
448. old - 5 uses.
449. guess - 5 uses.
450. drown - 5 uses.
451. delusions - 5 uses.
452. rocks - 5 uses.
453. gold - 5 uses.
454. reborn - 5 uses.
455. beyond - 5 uses.
456. blood - 5 uses.
457. tape - 5 uses.
458. fear - 5 uses.
459. pointed - 5 uses.
460. sang - 5 uses.
461. veil - 5 uses.
462. explode - 5 uses.
463. discover - 5 uses.
464. born - 5 uses.
465. step - 5 uses.
466. heres - 5 uses.
467. bless - 5 uses.
468. yours - 5 uses.
469. cover - 5 uses.
470. learn - 5 uses.
471. further - 5 uses.
472. belief - 5 uses.
473. trapped - 5 uses.
474. calm - 5 uses.
475. wouldnt - 5 uses.
476. tomb - 5 uses.
477. cuz - 5 uses.
478. known - 5 uses.
479. proud - 5 uses.
480. shame - 5 uses.
481. anemic - 5 uses.
482. bringing - 5 uses.
483. return - 4 uses.
484. aware - 4 uses.
485. means - 4 uses.
486. mean - 4 uses.
487. moment - 4 uses.
488. fate - 4 uses.
489. watching - 4 uses.
490. another - 4 uses.
491. embrace - 4 uses.
492. ours - 4 uses.
493. sailed - 4 uses.
494. hair - 4 uses.
495. glass - 4 uses.
496. dance - 4 uses.
497. times - 4 uses.
498. soul - 4 uses.
499. yo - 4 uses.
500. ashes - 4 uses.
501. carried - 4 uses.
502. tricks - 4 uses.
503. dying - 4 uses.
504. dear - 4 uses.
505. faint - 4 uses.
506. doing - 4 uses.
507. looked - 4 uses.
508. boy - 4 uses.
