Most used words by SZA: 
Number of songs scanned: 60

267. free - 6 uses.
268. bitches - 6 uses.
269. sky - 6 uses.
270. rest - 6 uses.
271. couldnt - 6 uses.
272. greener - 6 uses.
273. difference - 6 uses.
274. bright - 6 uses.
275. ideas - 6 uses.
276. bed - 6 uses.
277. crack-crack - 6 uses.
278. sit - 6 uses.
279. relax - 6 uses.
280. thoughts - 5 uses.
281. save - 5 uses.
282. anything - 5 uses.
283. miss - 5 uses.
284. calls - 5 uses.
285. till - 5 uses.
286. ice - 5 uses.
287. sense - 5 uses.
288. end - 5 uses.
289. falling - 5 uses.
290. answer - 5 uses.
291. remember - 5 uses.
292. tonight - 5 uses.
293. shitty - 5 uses.
294. ohhhh - 5 uses.
295. break - 5 uses.
296. gon - 5 uses.
297. work - 5 uses.
298. wings - 5 uses.
299. holding - 5 uses.
300. came - 5 uses.
301. must - 5 uses.
302. drop - 5 uses.
303. tuesday - 5 uses.
304. satisfied - 5 uses.
305. 5 - 5 uses.
306. send - 5 uses.
307. covered - 5 uses.
308. door - 5 uses.
309. place - 5 uses.
310. thinkin - 5 uses.
311. everything - 5 uses.
312. done - 5 uses.
313. life - 5 uses.
314. waste - 5 uses.
315. uh - 5 uses.
316. livin - 5 uses.
317. looking - 5 uses.
318. phone - 5 uses.
319. sure - 5 uses.
320. beginning - 5 uses.
321. deny - 5 uses.
322. bitch - 5 uses.
323. forget - 5 uses.
324. lay - 5 uses.
325. spread - 5 uses.
326. screaming - 5 uses.
327. best - 5 uses.
328. choose - 5 uses.
329. feeling - 5 uses.
330. bare - 5 uses.
331. shoulder - 5 uses.
332. leaving - 5 uses.
333. lift - 5 uses.
334. keepin - 5 uses.
335. difficult - 5 uses.
336. booty - 5 uses.
337. anyone - 5 uses.
338. left - 5 uses.
339. luck - 5 uses.
340. wind - 5 uses.
341. runnin - 5 uses.
342. tired - 4 uses.
343. top - 4 uses.
344. after - 4 uses.
345. floor - 4 uses.
346. fake - 4 uses.
347. those - 4 uses.
348. anymore - 4 uses.
349. without - 4 uses.
350. money - 4 uses.
351. low - 4 uses.
352. water - 4 uses.
353. loving - 4 uses.
354. timing - 4 uses.
355. hour - 4 uses.
356. dust - 4 uses.
357. living - 4 uses.
358. dark - 4 uses.
359. pay - 4 uses.
360. dirty - 4 uses.
361. together - 4 uses.
362. wake - 4 uses.
363. trip - 4 uses.
364. any - 4 uses.
365. harder - 4 uses.
366. probably - 4 uses.
367. usually - 4 uses.
368. hanging - 4 uses.
369. attention - 4 uses.
370. bring - 4 uses.
371. fallin - 4 uses.
372. 30 - 4 uses.
373. kind - 4 uses.
374. missin - 4 uses.
375. girls - 4 uses.
376. clear - 4 uses.
377. loose - 4 uses.
378. blame - 4 uses.
379. crazy - 4 uses.
380. found - 4 uses.
381. swear - 4 uses.
382. own - 4 uses.
383. figure - 4 uses.
384. fear - 4 uses.
385. today - 4 uses.
386. watching - 4 uses.
387. sza - 4 uses.
388. clipping - 4 uses.
389. space - 4 uses.
390. dreams - 4 uses.
