Most used words by Sjowgren: 
Number of songs scanned: 17

265. sidelines - 1 use.
266. stubborn - 1 use.
267. forces - 1 use.
268. play - 1 use.
269. emotions - 1 use.
270. bolster - 1 use.
271. sorry - 1 use.
272. anyway - 1 use.
273. brush - 1 use.
274. communicate - 1 use.
275. hero - 1 use.
276. trying - 1 use.
277. everyday - 1 use.
278. kids - 1 use.
279. growing - 1 use.
280. asked - 1 use.
281. shooting - 1 use.
282. held - 1 use.
283. cry - 1 use.
284. sides - 1 use.
285. grew - 1 use.
286. learning - 1 use.
287. attraction - 1 use.
288. most - 1 use.
289. stayed - 1 use.
290. behind - 1 use.
291. benny - 1 use.
292. mother - 1 use.
293. winter - 1 use.
294. enough - 1 use.
295. daddy - 1 use.
296. car - 1 use.
297. leather - 1 use.
298. strokes - 1 use.
299. doesnt - 1 use.
300. matter - 1 use.
301. jene - 1 use.
302. woke - 1 use.
303. rolled - 1 use.
304. nobodies - 1 use.
305. lonely - 1 use.
306. under - 1 use.
307. spell - 1 use.
308. sun - 1 use.
309. hadnt - 1 use.
310. thought - 1 use.
311. something - 1 use.
312. lift - 1 use.
313. tired - 1 use.
314. meant - 1 use.
315. plan - 1 use.
316. stick - 1 use.
317. called - 1 use.
318. wondering - 1 use.
319. sharing - 1 use.
320. thoughts - 1 use.
321. between - 1 use.
322. minds - 1 use.
323. songs - 1 use.
324. seen - 1 use.
325. bonds - 1 use.
326. feels - 1 use.
327. walking - 1 use.
328. quiet - 1 use.
329. much - 1 use.
330. suppress - 1 use.
331. whimsical - 1 use.
332. indecisive - 1 use.
333. bout - 1 use.
334. shoulda - 1 use.
335. sallys - 1 use.
336. thing - 1 use.
337. mean - 1 use.
338. johnny - 1 use.
339. wanted - 1 use.
340. looked - 1 use.
341. single - 1 use.
342. bennys - 1 use.
343. youngest - 1 use.
344. brothers - 1 use.
345. ever - 1 use.
346. katja - 1 use.
347. turned - 1 use.
348. sixteen - 1 use.
349. turning - 1 use.
350. last - 1 use.
351. summer - 1 use.
352. god - 1 use.
353. empty - 1 use.
354. rain - 1 use.
355. colder - 1 use.
356. winds - 1 use.
357. new - 1 use.
358. change - 1 use.
359. clouds - 1 use.
360. cool - 1 use.
361. sigh - 1 use.
362. puzzle - 1 use.
363. favorite - 1 use.
364. join - 1 use.
365. deal - 1 use.
366. lover - 1 use.
367. once - 1 use.
368. spot - 1 use.
369. building - 1 use.
370. space - 1 use.
371. wolves - 1 use.
372. weak - 1 use.
373. somethings - 1 use.
374. wrong - 1 use.
375. navigating - 1 use.
376. finding - 1 use.
377. light - 1 use.
378. path - 1 use.
379. aright - 1 use.
380. big - 1 use.
381. suppose - 1 use.
382. friends - 1 use.
383. speak - 1 use.
384. hold - 1 use.
385. hand - 1 use.
386. loving - 1 use.
387. wandering - 1 use.
388. steady - 1 use.
389. vain - 1 use.
390. really - 1 use.
391. okay - 1 use.
392. believe - 1 use.
393. words - 1 use.
394. write - 1 use.
395. wore - 1 use.
396. takes - 1 use.
397. occasion - 1 use.
398. forgive - 1 use.
399. drawing - 1 use.
400. faces - 1 use.
401. none - 1 use.
402. choose - 1 use.
403. billionaire - 1 use.
404. useless - 1 use.
405. constant - 1 use.
406. maze - 1 use.
407. afraid - 1 use.
408. played - 1 use.
409. mmm - 1 use.
410. today - 1 use.
411. wasnt - 1 use.
412. supposed - 1 use.
413. clearing - 1 use.
414. rains - 1 use.
415. pours - 1 use.
416. opinions - 1 use.
417. vanity - 1 use.
418. sweat - 1 use.
419. cursive - 1 use.
420. living - 1 use.
421. dead - 1 use.
422. winding - 1 use.
423. following - 1 use.
424. faced - 1 use.
425. demons - 1 use.
426. placing - 1 use.
427. counterfeit - 1 use.
428. bets - 1 use.
429. nother - 1 use.
430. wedding - 1 use.
431. having - 1 use.
432. midnight - 1 use.
433. sweats - 1 use.
434. everyone - 1 use.
435. sooth - 1 use.
